return_id,order_id,product_id,return_quantity,return_date,return_reason,refund_amount
RET-000113,1740,786,2,2012-08-09,changed_mind,1301.2
RET-000114,1789,1139,2,2012-08-06,defective,15133.06
RET-000115,1803,671,1,2012-07-23,wrong_size,10007.74
RET-000116,1818,826,5,2012-07-31,wrong_size,53670.76
RET-000117,1841,2400,1,2012-08-03,not_as_described,956.03
RET-000118,1850,2331,5,2012-08-09,late_delivery,35354.54
RET-000122,1911,467,1,2012-07-26,wrong_size,11013.95
RET-000124,2057,1230,1,2012-07-22,changed_mind,5013.12
RET-000125,2074,2255,1,2012-07-27,defective,674.79
RET-000126,2075,2254,1,2012-07-30,wrong_size,632.62
RET-000129,2133,550,3,2012-08-04,late_delivery,13449.34
RET-000130,2138,484,1,2012-07-23,not_as_described,14880.18
RET-000131,2170,2384,1,2012-07-28,wrong_size,7441.06
RET-000132,2174,596,7,2012-07-23,late_delivery,63977.13
RET-000133,2180,596,3,2012-08-09,defective,24861.66
RET-000134,2182,676,4,2012-07-31,defective,36202.95
RET-000135,2191,826,1,2012-07-28,changed_mind,11806.56
RET-000136,2204,964,1,2012-08-06,not_as_described,3439.77
RET-000137,2213,2250,1,2012-07-31,changed_mind,1469.26
RET-000138,2213,2251,1,2012-08-11,wrong_size,1488.29
RET-000141,2270,753,1,2012-08-01,wrong_size,2893.39
RET-000143,2325,915,4,2012-07-30,wrong_size,26661.58
RET-000144,2331,990,4,2012-08-03,wrong_size,20661.21
RET-000146,2367,966,3,2012-08-09,not_as_described,15035.92
RET-000151,2422,819,2,2012-08-14,wrong_size,25515.22
RET-000152,2468,1006,4,2012-08-10,wrong_size,4338.81
RET-000153,2470,1484,8,2012-08-11,not_as_described,7334.93
RET-000155,2524,2255,4,2012-07-27,changed_mind,2908.81
RET-000156,2532,2396,1,2012-07-29,not_as_described,1169.99
RET-000157,2538,2070,3,2012-08-10,wrong_size,16457.87
RET-000158,2543,606,8,2012-07-31,not_as_described,26810.39
RET-000159,2545,609,1,2012-08-10,wrong_size,9034.59
RET-000160,2548,2074,4,2012-08-03,wrong_size,15279.77
RET-000161,2567,966,7,2012-08-03,wrong_size,36252.76
RET-000163,2628,1298,3,2012-08-10,wrong_size,12779.24
RET-000164,2636,1061,4,2012-08-07,changed_mind,6123.19
RET-000165,2651,2252,1,2012-08-07,defective,1359.22
RET-000168,2715,635,1,2012-08-03,wrong_size,9780.3
RET-000169,2730,1228,3,2012-08-03,wrong_size,5027.16
RET-000170,2780,990,2,2012-07-30,not_as_described,10684.82
RET-000171,2788,981,4,2012-08-05,wrong_size,7393.82
RET-000173,2846,513,3,2012-08-02,not_as_described,14895.72
RET-000174,2858,604,3,2012-07-31,late_delivery,18245.16
RET-000175,2875,475,3,2012-08-10,changed_mind,36474.91
RET-000177,2927,1114,2,2012-08-03,defective,3570.74
RET-000179,2991,1215,2,2012-08-03,not_as_described,7432.63
RET-000181,3050,915,4,2012-08-01,wrong_size,25267.97
RET-000182,3054,785,3,2012-08-03,wrong_size,2098.44
RET-000183,3054,786,2,2012-07-30,late_delivery,1360.99
RET-000184,3092,2226,2,2012-08-03,late_delivery,7295.16
RET-000185,3092,2227,1,2012-08-08,wrong_size,3285.94
RET-000187,3110,757,3,2012-08-04,not_as_described,2387.25
RET-000188,3110,758,2,2012-07-31,late_delivery,1657.41
RET-000191,3161,910,2,2012-08-10,wrong_size,9683.54
RET-000192,3164,1144,4,2012-07-31,wrong_size,19559.76
RET-000193,3260,1065,5,2012-08-10,not_as_described,17881.67
RET-000194,3290,2240,1,2012-08-13,wrong_size,984.42
RET-000195,3290,2241,1,2012-08-02,defective,954.74
RET-000196,3292,2071,1,2012-08-12,defective,3775.1
RET-000197,3297,2400,2,2012-08-12,defective,1974.84
RET-000198,3311,767,2,2012-08-02,not_as_described,2100.58
RET-000199,3312,768,1,2012-08-03,wrong_size,1015.15
RET-000201,3350,826,2,2012-08-08,late_delivery,24204.09
RET-000202,3396,2331,1,2012-08-03,changed_mind,7045.2
RET-000203,3419,2327,1,2012-08-02,defective,6320.27
RET-000204,3430,573,3,2012-08-10,wrong_size,11045.95
RET-000205,3438,2343,4,2012-07-30,late_delivery,22110.53
RET-000206,3441,785,3,2012-08-08,not_as_described,1891.79
RET-000207,3441,786,3,2012-08-03,wrong_size,1807.63
RET-000209,3462,1131,1,2012-08-12,changed_mind,4849.52
RET-000210,3475,1053,1,2012-08-02,wrong_size,3156.88
RET-000211,3506,915,4,2012-07-29,defective,26223.03
RET-000212,3512,2070,1,2012-08-17,changed_mind,5848.22
RET-000213,3516,2252,1,2012-08-04,wrong_size,1630.72
RET-000214,3516,2253,4,2012-08-12,defective,6339.72
RET-000215,3529,1085,1,2012-08-05,wrong_size,1071.85
RET-000216,3529,1086,4,2012-08-05,wrong_size,4099.03
RET-000217,3547,676,1,2012-08-10,wrong_size,9334.5
RET-000218,3562,443,5,2012-08-05,defective,48043.84
RET-000219,3574,2055,1,2012-08-02,changed_mind,6453.8
RET-000220,3638,757,1,2012-08-09,late_delivery,790.13
RET-000221,3638,758,1,2012-08-15,wrong_size,760.69
RET-000222,3693,2388,6,2012-08-08,wrong_size,19941.69
RET-000223,3713,2091,2,2012-08-03,not_as_described,3643.22
RET-000225,3727,992,2,2012-07-26,wrong_size,6401.39
RET-000227,3740,1393,1,2012-07-29,defective,3937.75
RET-000228,3740,1394,5,2012-08-13,not_as_described,20064.34
RET-000229,3763,443,3,2012-08-09,defective,29251.6
RET-000230,3775,622,1,2012-08-09,changed_mind,9240.15
RET-000231,3815,757,2,2012-08-07,defective,1623.82
RET-000232,3815,758,1,2012-08-09,defective,839.29
RET-000233,3818,910,2,2012-08-05,defective,8696.18
RET-000234,3819,631,1,2012-07-31,wrong_size,4203.36
RET-000235,3824,967,2,2012-08-05,wrong_size,16659.39
RET-000236,3837,596,1,2012-08-12,wrong_size,8652.52
RET-000237,3838,915,1,2012-08-16,late_delivery,5749.72
RET-000238,3839,2204,1,2012-08-12,not_as_described,1595.2
RET-000240,3853,915,3,2012-08-14,changed_mind,19009.01
RET-000241,3854,1916,7,2012-07-28,defective,23025.54
RET-000242,3864,2012,3,2012-07-31,late_delivery,11871.86
RET-000244,3972,2400,2,2012-08-20,defective,2047.83
RET-000245,3983,769,1,2012-08-13,defective,2992.97
RET-000246,3994,1934,4,2012-08-07,wrong_size,5785.98
RET-000247,3994,1935,2,2012-07-29,defective,2943.13
RET-000248,4010,786,2,2012-08-15,wrong_size,1273.45
RET-000249,4027,785,4,2012-08-09,wrong_size,2723.42
RET-000250,4027,786,1,2012-08-07,late_delivery,652.26
RET-000251,4102,914,4,2012-08-03,late_delivery,24914.74
RET-000252,4129,981,1,2012-08-05,wrong_size,1796.56
RET-000253,4130,635,5,2012-08-21,defective,48265.69
RET-000256,4150,966,5,2012-08-13,wrong_size,27012.19
RET-000257,4151,915,1,2012-08-19,not_as_described,6255.78
RET-000258,4167,785,2,2012-08-03,wrong_size,1314.65
RET-000259,4175,964,1,2012-07-30,wrong_size,3875.34
RET-000262,4191,604,3,2012-08-12,not_as_described,17808.62
RET-000263,4247,910,1,2012-08-18,wrong_size,4729.35
RET-000264,4305,2384,1,2012-07-31,not_as_described,7028.77
RET-000265,4317,1775,4,2012-08-20,late_delivery,31242.43
RET-000270,4349,1936,3,2012-08-16,wrong_size,8979.19
RET-000271,4360,2255,1,2012-08-10,wrong_size,712.67
RET-000272,4394,2053,1,2012-08-22,wrong_size,3749.7
RET-000273,4396,819,6,2012-08-03,wrong_size,80250.63
RET-000274,4428,2064,1,2012-08-11,not_as_described,6165.22
RET-000276,4526,1936,6,2012-08-14,wrong_size,19911.07
RET-000277,4526,1937,4,2012-08-17,not_as_described,12888.07
RET-000278,4567,910,2,2012-08-18,late_delivery,10038.22
RET-000279,4575,2331,1,2012-08-17,wrong_size,6298.46
RET-000280,4587,725,1,2012-08-03,wrong_size,1316.22
RET-000281,4589,596,5,2012-08-07,defective,45591.35
RET-000283,4607,2380,5,2012-08-09,changed_mind,16806.67
RET-000285,4625,2064,4,2012-08-05,not_as_described,23711.11
RET-000286,4630,475,2,2012-08-22,wrong_size,23922.3
RET-000288,4636,768,3,2012-08-07,wrong_size,2978.72
RET-000289,4681,606,1,2012-08-19,wrong_size,3834.57
RET-000290,4699,1096,6,2012-07-31,changed_mind,8270.6
RET-000291,4731,726,3,2012-08-21,defective,3677.56
RET-000293,4772,269,4,2012-08-10,defective,20556.63
RET-000295,4817,770,4,2012-08-16,changed_mind,12091.9
RET-000296,4826,573,1,2012-08-15,defective,3600.88
RET-000297,4831,647,8,2012-08-18,wrong_size,80306.94
RET-000298,4853,475,1,2012-08-03,wrong_size,11772.32
RET-000299,4860,2241,1,2012-08-17,wrong_size,949.49
RET-000300,4871,757,1,2012-08-07,defective,846.88
RET-000301,4871,758,1,2012-08-04,not_as_described,839.83
RET-000302,4901,2396,7,2012-08-09,defective,7478.71
RET-000303,4909,2254,3,2012-08-18,defective,1875.1
RET-000304,4909,2255,5,2012-08-17,wrong_size,3144.43
RET-000305,4914,2388,1,2012-08-14,not_as_described,3439.82
RET-000306,4915,826,4,2012-08-09,wrong_size,45553.76
RET-000307,4917,1847,1,2012-08-21,defective,1355.0
RET-000308,4950,2384,5,2012-08-07,late_delivery,34615.29
RET-000309,4953,2054,1,2012-08-12,wrong_size,5939.48
RET-000310,5040,1086,2,2012-08-13,wrong_size,1912.35
RET-000311,5048,472,3,2012-08-15,not_as_described,30335.27
RET-000312,5059,635,1,2012-08-12,defective,9474.09
RET-000313,5090,1974,4,2012-08-08,wrong_size,2461.47
RET-000314,5090,1975,2,2012-08-17,changed_mind,1329.33
RET-000316,5156,400,2,2012-08-12,wrong_size,17798.8
RET-000318,5165,550,2,2012-08-01,wrong_size,8920.46
RET-000319,5168,1081,1,2012-08-13,changed_mind,2764.72
RET-000320,5168,2327,3,2012-08-03,late_delivery,20539.82
RET-000321,5202,1934,6,2012-08-18,not_as_described,8823.87
RET-000322,5202,1935,1,2012-08-18,defective,1378.08
RET-000323,5214,1963,7,2012-08-20,wrong_size,11791.05
RET-000324,5218,952,1,2012-08-05,late_delivery,3077.59
RET-000325,5241,725,2,2012-08-09,not_as_described,2632.16
RET-000326,5241,726,1,2012-08-02,wrong_size,1295.94
RET-000327,5245,1057,1,2012-08-19,wrong_size,1401.11
RET-000328,5245,1058,2,2012-08-20,changed_mind,3094.99
RET-000329,5249,966,2,2012-08-11,not_as_described,9995.73
RET-000330,5253,2053,2,2012-08-22,wrong_size,7907.13
RET-000331,5293,1962,5,2012-08-20,wrong_size,8216.82
RET-000332,5294,1963,1,2012-08-07,changed_mind,1714.63
RET-000334,5316,786,1,2012-08-05,wrong_size,604.16
RET-000335,5331,2331,5,2012-08-15,changed_mind,36619.19
RET-000336,5335,915,4,2012-08-17,defective,23751.77
RET-000337,5344,514,2,2012-08-15,changed_mind,10790.76
RET-000338,5362,2400,6,2012-08-13,defective,6202.16
RET-000339,5388,1891,5,2012-08-10,not_as_described,38320.09
RET-000340,5396,635,3,2012-08-13,defective,27682.86
RET-000341,5452,785,1,2012-08-24,wrong_size,668.31
RET-000342,5452,786,1,2012-08-22,late_delivery,690.83
RET-000343,5460,1001,1,2012-08-10,wrong_size,4655.42
RET-000344,5479,36,2,2012-08-19,wrong_size,10940.52
RET-000345,5507,1943,2,2012-08-17,changed_mind,2668.56
RET-000348,5546,1974,1,2012-08-01,changed_mind,652.33
RET-000349,5631,826,8,2012-08-06,changed_mind,86776.74
RET-000350,5634,1298,7,2012-08-15,not_as_described,30932.62
RET-000351,5637,1926,5,2012-08-13,not_as_described,5180.3
RET-000352,5637,1927,1,2012-08-14,defective,1074.44
RET-000353,5643,606,4,2012-08-12,not_as_described,13988.61
RET-000354,5686,2046,1,2012-08-14,defective,4702.9
RET-000355,5694,757,4,2012-08-10,wrong_size,3474.94
RET-000356,5694,758,4,2012-08-17,changed_mind,3100.71
RET-000357,5697,1114,1,2012-08-06,changed_mind,1953.68
RET-000358,5707,729,2,2012-08-06,wrong_size,6713.7
RET-000359,5718,767,5,2012-08-19,changed_mind,5571.7
RET-000361,5765,93,4,2012-08-09,not_as_described,46022.07
RET-000362,5786,2012,1,2012-08-23,wrong_size,3977.18
RET-000367,5945,484,2,2012-08-19,defective,26821.78
RET-000368,5974,1903,7,2012-08-11,not_as_described,58313.14
RET-000371,6032,992,2,2012-08-24,changed_mind,6096.02
RET-000372,6046,414,1,2012-08-13,late_delivery,5728.8
RET-000374,6077,981,4,2012-08-15,wrong_size,7579.95
RET-000375,6095,733,2,2012-08-16,defective,8094.19
RET-000376,6096,681,1,2012-08-07,late_delivery,7990.72
RET-000377,6097,550,2,2012-08-24,late_delivery,9591.76
RET-000378,6116,725,6,2012-08-10,wrong_size,7537.48
RET-000379,6116,726,1,2012-08-21,wrong_size,1281.21
RET-000380,6119,733,1,2012-08-12,defective,3944.33
RET-000381,6119,734,1,2012-08-22,wrong_size,3707.99
RET-000383,6154,769,3,2012-08-17,late_delivery,9906.52
RET-000384,6154,770,2,2012-08-28,late_delivery,5908.7
RET-000385,6157,725,1,2012-08-09,wrong_size,1186.22
RET-000386,6233,574,3,2012-08-21,not_as_described,29252.28
RET-000387,6236,596,4,2012-08-10,wrong_size,33621.14
RET-000388,6241,2081,6,2012-08-14,wrong_size,16329.95
RET-000389,6256,671,1,2012-08-14,late_delivery,9815.21
RET-000390,6276,785,1,2012-08-23,not_as_described,601.49
RET-000391,6324,797,2,2012-08-16,defective,6489.3
RET-000392,6350,2241,1,2012-08-23,defective,990.54
RET-000394,6374,966,1,2012-08-18,wrong_size,5313.85
RET-000395,6400,725,4,2012-08-24,late_delivery,5239.97
RET-000396,6416,2241,3,2012-08-20,wrong_size,2972.02
RET-000397,6417,2240,1,2012-08-18,not_as_described,1004.11
RET-000398,6437,475,4,2012-08-24,wrong_size,47903.29
RET-000399,6459,2053,5,2012-08-25,not_as_described,18959.61
RET-000402,6479,671,2,2012-08-22,defective,20593.53
RET-000403,6482,1425,1,2012-08-25,wrong_size,3243.65
RET-000404,6482,1426,1,2012-08-22,changed_mind,3489.04
RET-000405,6520,2280,6,2012-08-27,not_as_described,10689.06
RET-000406,6560,767,1,2012-08-23,wrong_size,1124.12
RET-000409,6616,795,2,2012-08-23,not_as_described,6094.32
RET-000410,6616,796,2,2012-08-25,wrong_size,6485.78
RET-000412,6687,2064,2,2012-08-14,changed_mind,12208.45
RET-000413,6694,396,1,2012-08-24,defective,10697.75
RET-000414,6722,954,2,2012-08-18,defective,16761.48
RET-000415,6723,1916,7,2012-08-13,defective,25482.28
RET-000416,6751,1005,2,2012-08-26,defective,2478.8
RET-000417,6752,604,1,2012-08-16,defective,5527.57
RET-000420,6809,604,4,2012-08-18,defective,22412.82
RET-000421,6811,2045,3,2012-08-24,changed_mind,14682.27
RET-000422,6825,758,2,2012-08-17,late_delivery,1782.0
RET-000423,6849,816,4,2012-08-20,wrong_size,15721.97
RET-000425,6894,514,1,2012-08-15,wrong_size,5185.6
RET-000426,6910,671,2,2012-08-19,changed_mind,20913.13
RET-000427,6933,499,1,2012-08-21,not_as_described,10216.51
RET-000428,6956,1000,1,2012-08-13,changed_mind,1053.82
RET-000431,7024,826,2,2012-08-19,not_as_described,22907.04
RET-000432,7034,2054,1,2012-08-11,not_as_described,5909.45
RET-000434,7065,826,6,2012-08-28,changed_mind,70296.05
RET-000436,7188,767,3,2012-08-15,late_delivery,3262.89
RET-000437,7191,786,4,2012-08-21,defective,2638.85
RET-000439,7210,2254,3,2012-08-16,defective,1979.18
RET-000440,7228,502,1,2012-08-18,defective,12574.33
RET-000441,7238,2254,5,2012-08-23,wrong_size,3144.8
RET-000442,7238,2255,5,2012-08-24,not_as_described,3304.86
RET-000443,7244,573,2,2012-08-30,wrong_size,6222.7
RET-000444,7302,2400,1,2012-08-21,wrong_size,1076.06
RET-000445,7320,1188,8,2012-08-12,changed_mind,39772.72
RET-000447,7341,2054,1,2012-08-20,defective,7082.88
RET-000449,7378,2400,3,2012-08-14,wrong_size,3149.63
RET-000451,7445,4,8,2012-08-20,wrong_size,69213.2
RET-000452,7503,575,1,2012-08-23,wrong_size,10026.26
RET-000454,7622,785,8,2012-08-23,not_as_described,5137.74
RET-000455,7622,786,2,2012-08-24,wrong_size,1410.07
RET-000456,7622,797,1,2012-08-30,late_delivery,3385.61
RET-000457,7647,862,2,2012-08-21,late_delivery,3940.39
RET-000458,7651,2081,6,2012-08-12,changed_mind,14995.37
RET-000459,7663,826,2,2012-08-29,defective,22660.13
RET-000460,7671,1000,3,2012-08-24,defective,3176.57
RET-000461,7679,2081,3,2012-08-14,late_delivery,7650.42
RET-000463,7714,2064,2,2012-08-18,defective,12098.75
RET-000464,7742,1001,3,2012-08-15,defective,13922.09
RET-000465,7755,396,2,2012-08-26,changed_mind,21377.61
RET-000466,7755,964,2,2012-08-25,late_delivery,6854.48
RET-000467,7780,992,7,2012-08-27,not_as_described,21703.34
RET-000469,7846,2050,3,2012-08-19,wrong_size,18081.52
RET-000470,7846,2153,8,2012-08-19,not_as_described,51115.53
RET-000473,7900,1963,4,2012-08-17,defective,6117.87
RET-000474,7912,2070,4,2012-08-13,defective,21331.94
RET-000476,7927,895,2,2012-08-29,late_delivery,13002.96
RET-000477,7931,964,4,2012-08-16,changed_mind,14964.24
RET-000479,7941,1000,1,2012-08-22,defective,1095.65
RET-000480,7947,826,1,2012-08-16,wrong_size,11978.6
RET-000481,7969,2380,3,2012-08-10,wrong_size,10957.05
RET-000482,7980,681,5,2012-08-20,changed_mind,39837.39
RET-000483,7980,2400,6,2012-08-20,not_as_described,6567.81
RET-000484,7990,826,3,2012-08-16,defective,37851.82
RET-000485,8019,2354,7,2012-08-28,wrong_size,31034.22
RET-000486,8027,954,2,2012-08-21,changed_mind,16112.97
RET-000487,8051,2045,2,2012-08-21,wrong_size,10258.06
RET-000488,8055,1203,4,2012-08-27,changed_mind,14504.51
RET-000489,8067,1203,1,2012-08-18,wrong_size,3746.29
RET-000490,8073,990,1,2012-08-19,defective,4597.74
RET-000491,8083,331,2,2012-08-28,changed_mind,19975.82
RET-000493,8109,768,6,2012-08-22,defective,6869.2
RET-000494,8122,767,1,2012-08-24,defective,1035.21
RET-000495,8122,768,3,2012-08-13,defective,3094.0
RET-000497,8152,964,3,2012-08-26,wrong_size,10151.33
RET-000499,8177,1934,1,2012-08-25,changed_mind,1496.51
RET-000500,8237,1934,1,2012-08-25,wrong_size,1415.21
RET-000501,8237,1935,1,2012-08-20,wrong_size,1422.12
RET-000504,8328,2277,1,2012-08-24,defective,3270.73
RET-000506,8358,757,2,2012-08-11,late_delivery,1541.3
RET-000507,8418,472,1,2012-08-23,wrong_size,11760.54
RET-000508,8426,499,2,2012-08-10,wrong_size,19549.98
RET-000509,8431,691,1,2012-08-18,defective,4670.56
RET-000510,8434,2050,1,2012-08-31,not_as_described,5430.35
RET-000511,8478,502,4,2012-08-25,defective,49797.26
RET-000512,8485,1490,2,2012-08-19,not_as_described,5703.46
RET-000513,8521,1182,3,2012-08-11,defective,6336.06
RET-000514,8522,481,2,2012-08-17,wrong_size,17844.3
RET-000515,8523,573,3,2012-08-19,defective,9722.49
RET-000516,8529,645,3,2012-08-25,late_delivery,23204.04
RET-000519,8541,1859,1,2012-08-24,changed_mind,1642.89
RET-000520,8571,1182,6,2012-08-27,defective,10963.52
RET-000521,8626,631,2,2012-08-31,defective,8077.15
RET-000522,8628,437,6,2012-08-22,not_as_described,50627.12
RET-000524,8676,1847,2,2012-08-23,not_as_described,3046.52
RET-000525,8681,467,4,2012-08-11,wrong_size,43794.76
RET-000527,8705,2352,1,2012-08-15,changed_mind,4251.78
RET-000530,8737,31,2,2012-08-18,changed_mind,16378.62
RET-000531,8739,2269,1,2012-08-15,wrong_size,3300.89
RET-000533,8801,671,5,2012-08-29,changed_mind,48543.64
RET-000534,8844,2254,3,2012-08-23,not_as_described,2150.89
RET-000535,8844,2255,3,2012-08-30,changed_mind,1894.79
RET-000536,8875,2251,2,2012-09-05,changed_mind,2803.24
RET-000537,8880,1046,1,2012-08-29,late_delivery,1090.97
RET-000538,8887,2374,1,2012-08-28,not_as_described,6616.25
RET-000540,8933,445,4,2012-09-01,not_as_described,42655.54
RET-000541,8954,2359,1,2012-08-22,changed_mind,5262.06
RET-000542,8961,2269,2,2012-08-27,changed_mind,6989.26
RET-000543,9009,2053,4,2012-08-25,wrong_size,15529.84
RET-000544,9012,989,1,2012-08-27,wrong_size,4962.22
RET-000545,9016,467,5,2012-08-12,defective,49945.74
RET-000546,9018,992,2,2012-09-04,not_as_described,6084.44
RET-000547,9026,981,1,2012-08-31,defective,1899.74
RET-000548,9068,1173,1,2012-08-27,wrong_size,5725.97
RET-000551,9082,725,2,2012-08-31,wrong_size,2265.84
RET-000553,9113,725,4,2012-08-26,defective,5304.64
RET-000554,9113,726,7,2012-08-31,wrong_size,8608.31
RET-000555,9129,2396,2,2012-08-29,defective,2235.39
RET-000556,9141,1847,2,2012-08-26,changed_mind,2762.54
RET-000557,9171,964,1,2012-08-27,changed_mind,3375.84
RET-000558,9186,2277,1,2012-08-26,defective,2977.18
RET-000559,9201,826,4,2012-09-01,defective,46123.59
RET-000562,9262,2253,3,2012-08-20,changed_mind,4647.15
RET-000564,9283,940,2,2012-08-30,wrong_size,15634.53
RET-000565,9287,2199,2,2012-08-18,changed_mind,4730.27
RET-000566,9351,739,1,2012-08-25,defective,1867.27
RET-000567,9351,740,3,2012-09-06,defective,5725.91
RET-000568,9354,638,1,2012-08-18,defective,10882.16
RET-000569,9374,1213,3,2012-08-20,late_delivery,17302.41
RET-000570,9386,2204,2,2012-09-03,wrong_size,3500.15
RET-000571,9387,2205,2,2012-08-20,wrong_size,3103.29
RET-000572,9389,2371,1,2012-08-24,not_as_described,6264.16
RET-000573,9393,1188,4,2012-08-26,late_delivery,21728.1
RET-000574,9409,2254,2,2012-08-21,defective,1227.23
RET-000575,9440,676,8,2012-08-23,not_as_described,74849.94
RET-000576,9447,758,1,2012-08-25,late_delivery,786.93
RET-000577,9451,2269,3,2012-08-30,wrong_size,11727.9
RET-000578,9463,2241,2,2012-08-26,changed_mind,2056.98
RET-000579,9471,826,5,2012-09-05,wrong_size,60058.7
RET-000580,9472,2250,1,2012-08-31,not_as_described,1505.47
RET-000581,9472,2251,6,2012-08-24,changed_mind,8275.13
RET-000583,9551,475,5,2012-08-26,changed_mind,55186.39
RET-000584,9588,915,2,2012-08-19,defective,12985.01
