zip,city,district,region
15942,Cam Pha,District #13,East
15943,Viet Tri,District #13,East
15944,Son Tay,District #13,East
15945,Bac Giang,District #13,East
15946,Ha Long,District #13,East
15948,Ninh Binh,District #13,East
15949,Uong Bi,District #13,East
15951,Viet Tri,District #13,East
15952,Hai Phong,District #13,East
15953,Thai Nguyen,District #13,East
15954,Phu Ly,District #13,East
15955,Ninh Binh,District #13,East
15956,Bac Giang,District #13,East
15957,Ninh Binh,District #13,East
15958,Ninh Binh,District #13,East
15959,Bac Ninh,District #13,East
15960,Lao Cai,District #13,East
15961,Thai Nguyen,District #13,East
15962,Nam Dinh,District #13,East
15963,Viet Tri,District #13,East
16001,Uong Bi,District #13,East
16002,Hai Phong,District #13,East
16003,Ninh Binh,District #13,East
16016,Ha Long,District #13,East
16017,Ninh Binh,District #13,East
16018,Hanoi,District #13,East
16020,Ninh Binh,District #13,East
16021,Ninh Binh,District #13,East
16022,Phu Ly,District #13,East
16023,Viet Tri,District #13,East
16024,Bac Giang,District #13,East
16025,Viet Tri,District #13,East
16027,Nam Dinh,District #13,East
16028,Phu Ly,District #13,East
16029,Cam Pha,District #13,East
16030,Bac Giang,District #13,East
16033,Cam Pha,District #13,East
16034,Cam Pha,District #13,East
16035,Hanoi,District #13,East
16036,Hai Phong,District #13,East
16037,Nam Dinh,District #13,East
16038,Hai Phong,District #13,East
16039,Bac Giang,District #13,East
16040,Viet Tri,District #13,East
16041,Viet Tri,District #13,East
16045,Bac Giang,District #13,East
16046,Ninh Binh,District #13,East
16048,Cam Pha,District #13,East
16049,Hai Phong,District #13,East
16050,Phu Ly,District #13,East
16051,Uong Bi,District #13,East
16052,Uong Bi,District #13,East
16053,Cam Pha,District #13,East
16054,Cam Pha,District #13,East
16055,Hai Phong,District #13,East
16056,Cam Pha,District #13,East
16057,Ninh Binh,District #13,East
16058,Thai Nguyen,District #13,East
16059,Uong Bi,District #13,East
16061,Hanoi,District #13,East
16063,Thai Nguyen,District #13,East
16066,Bac Giang,District #13,East
16101,Son Tay,District #13,East
16102,Nam Dinh,District #13,East
16103,Nam Dinh,District #13,East
16105,Bac Ninh,District #13,East
16107,Son Tay,District #13,East
16108,Ninh Binh,District #13,East
16110,Hanoi,District #13,East
16111,Nam Dinh,District #13,East
16112,Ninh Binh,District #13,East
16115,Hanoi,District #13,East
16116,Ninh Binh,District #13,East
16117,Nam Dinh,District #13,East
16120,Lao Cai,District #13,East
16123,Thai Nguyen,District #13,East
16130,Bac Giang,District #13,East
16131,Viet Tri,District #13,East
16132,Hai Phong,District #13,East
16134,Cam Pha,District #13,East
16136,Cam Pha,District #13,East
16140,Phu Ly,District #13,East
16141,Son Tay,District #13,East
16142,Viet Tri,District #13,East
16143,Bac Ninh,District #13,East
16151,Bac Ninh,District #13,East
16155,Bac Ninh,District #13,East
16156,Ninh Binh,District #13,East
16157,Thai Nguyen,District #13,East
16160,Ha Long,District #13,East
16172,Thai Nguyen,District #13,East
16201,Hanoi,District #13,East
16210,Hai Phong,District #13,East
16211,Hai Phong,District #13,East
16212,Phu Ly,District #13,East
16213,Phu Ly,District #13,East
16214,Viet Tri,District #13,East
16217,Bac Giang,District #13,East
16218,Phu Ly,District #13,East
16220,Ha Long,District #13,East
16221,Lao Cai,District #13,East
16222,Cam Pha,District #13,East
16223,Son Tay,District #13,East
16224,Ha Long,District #13,East
16225,Bac Giang,District #13,East
16226,Viet Tri,District #13,East
16228,Bac Giang,District #13,East
16229,Bac Giang,District #13,East
16230,Ha Long,District #13,East
16232,Bac Ninh,District #13,East
16233,Nam Dinh,District #13,East
16234,Thai Nguyen,District #13,East
16235,Viet Tri,District #13,East
16236,Uong Bi,District #13,East
16238,Uong Bi,District #13,East
16239,Bac Ninh,District #13,East
16240,Son Tay,District #13,East
16242,Hai Phong,District #13,East
16244,Thai Nguyen,District #13,East
16245,Hai Phong,District #13,East
16246,Thai Nguyen,District #13,East
16248,Son Tay,District #13,East
16249,Bac Ninh,District #13,East
16250,Lao Cai,District #13,East
16253,Bac Giang,District #13,East
16254,Viet Tri,District #13,East
16255,Bac Giang,District #13,East
16256,Nam Dinh,District #13,East
16257,Phu Ly,District #13,East
16258,Son Tay,District #13,East
16259,Nam Dinh,District #13,East
16260,Phu Ly,District #13,East
16261,Nam Dinh,District #13,East
16262,Phu Ly,District #13,East
16263,Ninh Binh,District #13,East
16301,Bac Giang,District #13,East
16311,Phu Ly,District #13,East
16314,Nam Dinh,District #13,East
16316,Hai Phong,District #13,East
16317,Hai Phong,District #13,East
16319,Bac Giang,District #13,East
16322,Lao Cai,District #13,East
16323,Hai Phong,District #13,East
16326,Bac Giang,District #13,East
16327,Viet Tri,District #13,East
16328,Ha Long,District #13,East
16331,Phu Ly,District #13,East
16332,Thai Nguyen,District #13,East
16334,Ninh Binh,District #13,East
16335,Uong Bi,District #13,East
16341,Cam Pha,District #13,East
16343,Ha Long,District #13,East
16344,Bac Giang,District #13,East
16346,Ninh Binh,District #13,East
16353,Hanoi,District #13,East
16354,Phu Ly,District #13,East
16360,Bac Giang,District #13,East
16361,Phu Ly,District #13,East
16362,Viet Tri,District #13,East
16364,Bac Giang,District #13,East
16370,Thai Nguyen,District #13,East
16372,Uong Bi,District #13,East
16373,Hai Phong,District #13,East
16374,Uong Bi,District #13,East
16375,Hai Phong,District #13,East
16388,Viet Tri,District #13,East
16403,Uong Bi,District #13,East
16404,Hai Phong,District #13,East
16406,Phu Ly,District #13,East
16422,Bac Ninh,District #13,East
16424,Ninh Binh,District #13,East
16432,Hanoi,District #13,East
16433,Ha Long,District #13,East
16434,Bac Giang,District #13,East
16435,Ha Long,District #13,East
16436,Thai Nguyen,District #13,East
16440,Viet Tri,District #13,East
16601,Ha Long,District #13,East
16602,Viet Tri,District #13,East
16603,Hai Phong,District #13,East
16611,Ha Long,District #13,East
16613,Uong Bi,District #13,East
16616,Ninh Binh,District #13,East
16617,Ha Long,District #13,East
16619,Thai Nguyen,District #13,East
16620,Lao Cai,District #13,East
16621,Son Tay,District #13,East
16622,Uong Bi,District #13,East
16623,Bac Giang,District #13,East
16624,Thai Nguyen,District #13,East
16625,Uong Bi,District #13,East
16627,Uong Bi,District #13,East
16629,Thai Nguyen,District #13,East
16630,Hanoi,District #13,East
16631,Ha Long,District #13,East
16633,Son Tay,District #13,East
16634,Bac Ninh,District #13,East
16635,Bac Giang,District #13,East
16636,Bac Giang,District #13,East
16637,Phu Ly,District #13,East
16638,Hanoi,District #13,East
16639,Hai Phong,District #13,East
16640,Nam Dinh,District #13,East
16641,Bac Giang,District #13,East
16644,Viet Tri,District #13,East
16645,Bac Giang,District #13,East
16646,Bac Giang,District #13,East
16647,Son Tay,District #13,East
16648,Ha Long,District #13,East
16650,Uong Bi,District #13,East
16651,Cam Pha,District #13,East
16652,Bac Giang,District #13,East
16654,Ninh Binh,District #13,East
16655,Nam Dinh,District #13,East
16656,Son Tay,District #13,East
16657,Thai Nguyen,District #13,East
16659,Cam Pha,District #13,East
16660,Cam Pha,District #13,East
16661,Ninh Binh,District #13,East
16662,Bac Giang,District #13,East
16663,Nam Dinh,District #13,East
16664,Hanoi,District #13,East
16665,Bac Ninh,District #13,East
16666,Ninh Binh,District #13,East
16667,Hanoi,District #13,East
16668,Lao Cai,District #13,East
16669,Cam Pha,District #13,East
16670,Hai Phong,District #13,East
16671,Thai Nguyen,District #13,East
16672,Cam Pha,District #13,East
16673,Thai Nguyen,District #13,East
16674,Hai Phong,District #13,East
16675,Viet Tri,District #13,East
16678,Viet Tri,District #13,East
16679,Hai Phong,District #13,East
16680,Nam Dinh,District #13,East
16681,Nam Dinh,District #13,East
16682,Viet Tri,District #13,East
16683,Phu Ly,District #13,East
16684,Phu Ly,District #13,East
16685,Son Tay,District #13,East
16686,Phu Ly,District #13,East
16692,Thai Nguyen,District #13,East
16693,Hai Phong,District #13,East
16694,Uong Bi,District #13,East
16695,Lao Cai,District #13,East
16698,Son Tay,District #13,East
16699,Nam Dinh,District #13,East
16728,Nam Dinh,District #13,East
16734,Hanoi,District #13,East
16735,Hai Phong,District #13,East
16821,Cam Pha,District #13,East
16825,Cam Pha,District #13,East
16830,Bac Ninh,District #13,East
16833,Thai Nguyen,District #13,East
16834,Ninh Binh,District #13,East
16836,Bac Giang,District #13,East
16837,Ninh Binh,District #13,East
16838,Son Tay,District #13,East
16839,Thai Nguyen,District #13,East
16840,Ha Long,District #13,East
16843,Son Tay,District #13,East
16845,Uong Bi,District #13,East
16847,Thai Nguyen,District #13,East
16849,Uong Bi,District #13,East
16850,Cam Pha,District #13,East
16855,Lao Cai,District #13,East
16858,Nam Dinh,District #13,East
16860,Son Tay,District #13,East
16861,Son Tay,District #13,East
16863,Ha Long,District #13,East
16871,Ha Long,District #13,East
16873,Cam Pha,District #13,East
16876,Hanoi,District #13,East
16877,Thai Nguyen,District #13,East
16878,Bac Giang,District #13,East
16879,Son Tay,District #13,East
16881,Son Tay,District #13,East
17052,Ha Long,District #13,East
17060,Lao Cai,District #13,East
17066,Hai Phong,District #13,East
17075,Phu Ly,District #13,East
15001,Ninh Binh,District #13,East
15003,Lao Cai,District #13,East
15004,Nam Dinh,District #13,East
15005,Lao Cai,District #13,East
15006,Hai Phong,District #13,East
15007,Cam Pha,District #13,East
15009,Bac Giang,District #13,East
15010,Thai Nguyen,District #13,East
15012,Hanoi,District #13,East
15014,Phu Ly,District #13,East
15015,Thai Nguyen,District #13,East
15017,Viet Tri,District #13,East
15018,Bac Ninh,District #13,East
15019,Bac Ninh,District #13,East
15020,Lao Cai,District #13,East
15021,Hai Phong,District #13,East
15022,Phu Ly,District #13,East
15024,Phu Ly,District #13,East
15025,Bac Ninh,District #13,East
15026,Nam Dinh,District #13,East
15027,Hanoi,District #13,East
15028,Son Tay,District #13,East
15030,Son Tay,District #13,East
15031,Nam Dinh,District #13,East
15032,Hanoi,District #13,East
15033,Hai Phong,District #13,East
15034,Hanoi,District #13,East
15035,Ninh Binh,District #13,East
15037,Lao Cai,District #13,East
15038,Ha Long,District #13,East
15042,Phu Ly,District #13,East
15043,Ha Long,District #13,East
15044,Bac Ninh,District #13,East
15045,Uong Bi,District #13,East
15046,Phu Ly,District #13,East
15047,Lao Cai,District #13,East
15049,Hanoi,District #13,East
15050,Ha Long,District #13,East
15051,Nam Dinh,District #13,East
15052,Thai Nguyen,District #13,East
15053,Son Tay,District #13,East
15054,Phu Ly,District #13,East
15055,Thai Nguyen,District #13,East
15056,Son Tay,District #13,East
15057,Bac Giang,District #13,East
15059,Cam Pha,District #13,East
15060,Bac Giang,District #13,East
15061,Ha Long,District #13,East
15062,Son Tay,District #13,East
15063,Hanoi,District #13,East
15064,Ha Long,District #13,East
15065,Nam Dinh,District #13,East
15066,Nam Dinh,District #13,East
15067,Hai Phong,District #13,East
15068,Hanoi,District #13,East
15069,Viet Tri,District #13,East
15071,Son Tay,District #13,East
15072,Hai Phong,District #13,East
15074,Thai Nguyen,District #13,East
15075,Cam Pha,District #13,East
15076,Lao Cai,District #13,East
15077,Viet Tri,District #13,East
15078,Phu Ly,District #13,East
15081,Uong Bi,District #13,East
15082,Bac Ninh,District #13,East
15083,Ha Long,District #13,East
15084,Lao Cai,District #13,East
15085,Ninh Binh,District #13,East
15086,Hanoi,District #13,East
15087,Phu Ly,District #13,East
15088,Hai Phong,District #13,East
15089,Phu Ly,District #13,East
15090,Ninh Binh,District #13,East
15091,Hai Phong,District #13,East
15095,Bac Giang,District #13,East
15096,Hai Phong,District #13,East
15101,Cam Pha,District #13,East
15102,Lao Cai,District #13,East
15104,Hai Phong,District #13,East
15106,Bac Ninh,District #13,East
15108,Son Tay,District #13,East
15110,Thai Nguyen,District #13,East
15112,Hai Phong,District #13,East
15116,Bac Giang,District #13,East
15120,Cam Pha,District #13,East
15122,Viet Tri,District #13,East
15123,Thai Nguyen,District #13,East
15126,Son Tay,District #13,East
15127,Cam Pha,District #13,East
15129,Thai Nguyen,District #13,East
15131,Son Tay,District #13,East
15132,Lao Cai,District #13,East
15133,Bac Giang,District #13,East
15134,Hanoi,District #13,East
15135,Uong Bi,District #13,East
15136,Cam Pha,District #13,East
15137,Ha Long,District #13,East
15139,Uong Bi,District #13,East
15140,Ninh Binh,District #13,East
15142,Hai Phong,District #13,East
15143,Phu Ly,District #13,East
15144,Hai Phong,District #13,East
15145,Phu Ly,District #13,East
15146,Bac Ninh,District #13,East
15147,Hanoi,District #13,East
15148,Son Tay,District #13,East
15301,Ha Long,District #13,East
15311,Uong Bi,District #13,East
15312,Ha Long,District #13,East
15313,Son Tay,District #13,East
15314,Phu Ly,District #13,East
15315,Ninh Binh,District #13,East
15316,Bac Giang,District #13,East
15317,Bac Giang,District #13,East
15320,Uong Bi,District #13,East
15321,Phu Ly,District #13,East
15322,Ninh Binh,District #13,East
15323,Hanoi,District #13,East
15324,Viet Tri,District #13,East
15325,Hai Phong,District #13,East
15327,Thai Nguyen,District #13,East
15329,Ninh Binh,District #13,East
15330,Nam Dinh,District #13,East
15331,Ninh Binh,District #13,East
15332,Bac Giang,District #13,East
15333,Nam Dinh,District #13,East
15334,Thai Nguyen,District #13,East
15336,Cam Pha,District #13,East
15337,Phu Ly,District #13,East
15338,Uong Bi,District #13,East
15339,Son Tay,District #13,East
15340,Lao Cai,District #13,East
15341,Phu Ly,District #13,East
15342,Uong Bi,District #13,East
15344,Thai Nguyen,District #13,East
15345,Bac Ninh,District #13,East
15346,Hai Phong,District #13,East
15347,Bac Ninh,District #13,East
15348,Lao Cai,District #13,East
15349,Bac Ninh,District #13,East
15350,Hai Phong,District #13,East
15351,Viet Tri,District #13,East
15353,Son Tay,District #13,East
15357,Lao Cai,District #13,East
15358,Nam Dinh,District #13,East
15359,Bac Giang,District #13,East
15360,Cam Pha,District #13,East
15361,Nam Dinh,District #13,East
15362,Nam Dinh,District #13,East
15363,Nam Dinh,District #13,East
15364,Son Tay,District #13,East
15365,Phu Ly,District #13,East
15366,Ninh Binh,District #13,East
15367,Ninh Binh,District #13,East
15368,Son Tay,District #13,East
15370,Hai Phong,District #13,East
15378,Lao Cai,District #13,East
15379,Hanoi,District #13,East
15401,Bac Giang,District #13,East
15410,Uong Bi,District #13,East
15411,Bac Ninh,District #13,East
15412,Ha Long,District #13,East
15413,Ha Long,District #13,East
15415,Ninh Binh,District #13,East
15416,Thai Nguyen,District #13,East
15417,Thai Nguyen,District #13,East
15419,Lao Cai,District #13,East
15420,Ha Long,District #13,East
15421,Lao Cai,District #13,East
15422,Lao Cai,District #13,East
15423,Uong Bi,District #13,East
15424,Ha Long,District #13,East
15425,Ha Long,District #13,East
15427,Nam Dinh,District #13,East
15428,Uong Bi,District #13,East
15429,Ha Long,District #13,East
15430,Bac Giang,District #13,East
15431,Hai Phong,District #13,East
15432,Cam Pha,District #13,East
15433,Hanoi,District #13,East
15434,Viet Tri,District #13,East
15435,Hanoi,District #13,East
15436,Ha Long,District #13,East
15437,Ha Long,District #13,East
15438,Ninh Binh,District #13,East
15439,Hanoi,District #13,East
15440,Bac Giang,District #13,East
15442,Uong Bi,District #13,East
15443,Cam Pha,District #13,East
15444,Viet Tri,District #13,East
15445,Ninh Binh,District #13,East
15446,Bac Ninh,District #13,East
15447,Ninh Binh,District #13,East
15448,Thai Nguyen,District #13,East
15449,Son Tay,District #13,East
15450,Cam Pha,District #13,East
15451,Phu Ly,District #13,East
15454,Lao Cai,District #13,East
15455,Ninh Binh,District #13,East
15456,Ninh Binh,District #13,East
15458,Cam Pha,District #13,East
15459,Hanoi,District #13,East
15460,Bac Giang,District #13,East
15461,Ha Long,District #13,East
15462,Lao Cai,District #13,East
15463,Nam Dinh,District #13,East
15464,Nam Dinh,District #13,East
15465,Nam Dinh,District #13,East
15466,Uong Bi,District #13,East
15467,Cam Pha,District #13,East
15468,Son Tay,District #13,East
15469,Bac Ninh,District #13,East
15470,Nam Dinh,District #13,East
15472,Hanoi,District #13,East
15473,Hanoi,District #13,East
15474,Bac Ninh,District #13,East
15475,Lao Cai,District #13,East
15476,Cam Pha,District #13,East
15477,Lao Cai,District #13,East
15478,Hai Phong,District #13,East
15479,Hai Phong,District #13,East
15480,Ninh Binh,District #13,East
15482,Hai Phong,District #13,East
15483,Hanoi,District #13,East
15484,Bac Ninh,District #13,East
15485,Lao Cai,District #13,East
15486,Viet Tri,District #13,East
15488,Hai Phong,District #13,East
15489,Ninh Binh,District #13,East
15490,Ninh Binh,District #13,East
15492,Ninh Binh,District #13,East
15501,Lao Cai,District #13,East
15502,Nam Dinh,District #13,East
15510,Son Tay,District #13,East
15520,Thai Nguyen,District #13,East
15521,Ninh Binh,District #13,East
15522,Uong Bi,District #13,East
15530,Phu Ly,District #13,East
15531,Uong Bi,District #13,East
15532,Uong Bi,District #13,East
15534,Uong Bi,District #13,East
15535,Phu Ly,District #13,East
15537,Phu Ly,District #13,East
15538,Hai Phong,District #13,East
15539,Ninh Binh,District #13,East
15540,Cam Pha,District #13,East
15541,Thai Nguyen,District #13,East
15542,Cam Pha,District #13,East
15544,Son Tay,District #13,East
15545,Lao Cai,District #13,East
15546,Ninh Binh,District #13,East
15547,Bac Giang,District #13,East
15548,Phu Ly,District #13,East
15549,Bac Ninh,District #13,East
15550,Viet Tri,District #13,East
15551,Uong Bi,District #13,East
15552,Nam Dinh,District #13,East
15553,Nam Dinh,District #13,East
15554,Hanoi,District #13,East
15555,Hai Phong,District #13,East
15557,Bac Giang,District #13,East
15558,Bac Giang,District #13,East
15559,Ha Long,District #13,East
15560,Bac Ninh,District #13,East
15561,Uong Bi,District #13,East
15562,Nam Dinh,District #13,East
15563,Thai Nguyen,District #13,East
15564,Bac Ninh,District #13,East
15565,Cam Pha,District #13,East
15601,Bac Ninh,District #13,East
15605,Phu Ly,District #13,East
15606,Thai Nguyen,District #13,East
15610,Bac Giang,District #13,East
15611,Bac Ninh,District #13,East
15612,Ha Long,District #13,East
15613,Viet Tri,District #13,East
15615,Nam Dinh,District #13,East
15616,Thai Nguyen,District #13,East
15617,Ninh Binh,District #13,East
15618,Son Tay,District #13,East
15619,Viet Tri,District #13,East
15620,Lao Cai,District #13,East
15621,Ninh Binh,District #13,East
15622,Bac Giang,District #13,East
15623,Phu Ly,District #13,East
15624,Thai Nguyen,District #13,East
15625,Bac Giang,District #13,East
15626,Cam Pha,District #13,East
15627,Son Tay,District #13,East
15628,Ninh Binh,District #13,East
15629,Bac Giang,District #13,East
15631,Viet Tri,District #13,East
15632,Ha Long,District #13,East
15633,Ninh Binh,District #13,East
15634,Cam Pha,District #13,East
15635,Cam Pha,District #13,East
15636,Phu Ly,District #13,East
15637,Uong Bi,District #13,East
15638,Hai Phong,District #13,East
15639,Thai Nguyen,District #13,East
15640,Ha Long,District #13,East
15641,Phu Ly,District #13,East
15642,Hanoi,District #13,East
15644,Ha Long,District #13,East
15646,Uong Bi,District #13,East
15647,Viet Tri,District #13,East
15650,Cam Pha,District #13,East
15655,Lao Cai,District #13,East
15656,Lao Cai,District #13,East
15658,Hai Phong,District #13,East
15660,Son Tay,District #13,East
15661,Uong Bi,District #13,East
15662,Uong Bi,District #13,East
15663,Hai Phong,District #13,East
15664,Uong Bi,District #13,East
15665,Phu Ly,District #13,East
15666,Uong Bi,District #13,East
15668,Hai Phong,District #13,East
15670,Cam Pha,District #13,East
15671,Son Tay,District #13,East
15672,Phu Ly,District #13,East
15673,Hai Phong,District #13,East
15674,Son Tay,District #13,East
15675,Son Tay,District #13,East
15676,Ha Long,District #13,East
15677,Ninh Binh,District #13,East
15678,Bac Ninh,District #13,East
15679,Uong Bi,District #13,East
15680,Bac Giang,District #13,East
15681,Phu Ly,District #13,East
15682,Son Tay,District #13,East
15683,Ninh Binh,District #13,East
15684,Son Tay,District #13,East
15685,Son Tay,District #13,East
15686,Hai Phong,District #13,East
15687,Nam Dinh,District #13,East
15688,Phu Ly,District #13,East
15689,Uong Bi,District #13,East
15690,Hanoi,District #13,East
15691,Hai Phong,District #13,East
15692,Cam Pha,District #13,East
15693,Uong Bi,District #13,East
15695,Ha Long,District #13,East
15696,Ha Long,District #13,East
15697,Hai Phong,District #13,East
15698,Cam Pha,District #13,East
15701,Hanoi,District #13,East
15705,Uong Bi,District #13,East
15710,Bac Giang,District #13,East
15711,Bac Giang,District #13,East
15712,Viet Tri,District #13,East
15713,Cam Pha,District #13,East
15714,Phu Ly,District #13,East
15715,Phu Ly,District #13,East
15716,Lao Cai,District #13,East
15717,Ninh Binh,District #13,East
15720,Cam Pha,District #13,East
15721,Bac Giang,District #13,East
15722,Nam Dinh,District #13,East
15723,Uong Bi,District #13,East
15724,Hai Phong,District #13,East
15725,Son Tay,District #13,East
15727,Ninh Binh,District #13,East
15728,Hai Phong,District #13,East
15729,Ninh Binh,District #13,East
15730,Hai Phong,District #13,East
15731,Phu Ly,District #13,East
15732,Hai Phong,District #13,East
15733,Bac Giang,District #13,East
15734,Viet Tri,District #13,East
15736,Phu Ly,District #13,East
15737,Bac Ninh,District #13,East
15738,Lao Cai,District #13,East
15739,Phu Ly,District #13,East
15741,Ha Long,District #13,East
15742,Viet Tri,District #13,East
15744,Phu Ly,District #13,East
15745,Thai Nguyen,District #13,East
15746,Phu Ly,District #13,East
15747,Lao Cai,District #13,East
15748,Ninh Binh,District #13,East
15750,Phu Ly,District #13,East
15752,Uong Bi,District #13,East
15753,Nam Dinh,District #13,East
15754,Ninh Binh,District #13,East
15756,Bac Ninh,District #13,East
15757,Cam Pha,District #13,East
15758,Thai Nguyen,District #13,East
15759,Thai Nguyen,District #13,East
15760,Ha Long,District #13,East
15761,Son Tay,District #13,East
15762,Ha Long,District #13,East
15763,Hai Phong,District #13,East
15764,Son Tay,District #13,East
15765,Cam Pha,District #13,East
15767,Bac Giang,District #13,East
15770,Phu Ly,District #13,East
15771,Bac Ninh,District #13,East
15772,Hai Phong,District #13,East
15773,Phu Ly,District #13,East
15774,Ha Long,District #13,East
15775,Cam Pha,District #13,East
15776,Son Tay,District #13,East
15777,Son Tay,District #13,East
15778,Bac Ninh,District #13,East
15779,Phu Ly,District #13,East
15780,Uong Bi,District #13,East
15781,Bac Giang,District #13,East
15783,Hai Phong,District #13,East
15784,Bac Ninh,District #13,East
15801,Viet Tri,District #13,East
15821,Son Tay,District #13,East
15822,Hanoi,District #13,East
15823,Phu Ly,District #13,East
15824,Ninh Binh,District #13,East
15825,Son Tay,District #13,East
15827,Bac Ninh,District #13,East
15828,Hai Phong,District #13,East
15829,Nam Dinh,District #13,East
15831,Ninh Binh,District #13,East
15832,Lao Cai,District #13,East
15840,Uong Bi,District #13,East
15841,Hai Phong,District #13,East
15845,Hai Phong,District #13,East
15846,Bac Giang,District #13,East
15847,Uong Bi,District #13,East
15848,Hanoi,District #13,East
15849,Viet Tri,District #13,East
15851,Cam Pha,District #13,East
15853,Hanoi,District #13,East
15856,Hai Phong,District #13,East
15857,Bac Giang,District #13,East
15860,Phu Ly,District #13,East
15861,Ninh Binh,District #13,East
15863,Bac Giang,District #13,East
15864,Thai Nguyen,District #13,East
15865,Son Tay,District #13,East
15866,Bac Giang,District #13,East
15868,Thai Nguyen,District #13,East
15870,Bac Giang,District #13,East
15901,Hanoi,District #13,East
15902,Thai Nguyen,District #13,East
15904,Cam Pha,District #13,East
15905,Lao Cai,District #13,East
15906,Phu Ly,District #13,East
15907,Phu Ly,District #13,East
15909,Cam Pha,District #13,East
15915,Hai Phong,District #13,East
15920,Bac Ninh,District #13,East
15921,Son Tay,District #13,East
15922,Hanoi,District #13,East
15923,Lao Cai,District #13,East
15924,Viet Tri,District #13,East
15925,Nam Dinh,District #13,East
15926,Phu Ly,District #13,East
15927,Ninh Binh,District #13,East
15928,Hanoi,District #13,East
15929,Hai Phong,District #13,East
15930,Viet Tri,District #13,East
15931,Son Tay,District #13,East
15934,Hanoi,District #13,East
15935,Viet Tri,District #13,East
15936,Hai Phong,District #13,East
17555,Viet Tri,District #04,East
18015,Uong Bi,District #04,East
18016,Hai Phong,District #04,East
18018,Viet Tri,District #04,East
18025,Lao Cai,District #04,East
18034,Lao Cai,District #04,East
18036,Hanoi,District #04,East
18039,Nam Dinh,District #04,East
18041,Nam Dinh,District #04,East
18046,Bac Giang,District #04,East
18049,Ha Long,District #04,East
18054,Ninh Binh,District #04,East
18055,Phu Ly,District #04,East
18056,Ninh Binh,District #04,East
18060,Ha Long,District #04,East
18062,Hanoi,District #04,East
18068,Lao Cai,District #04,East
18070,Thai Nguyen,District #04,East
18073,Viet Tri,District #04,East
18074,Lao Cai,District #04,East
18076,Hanoi,District #04,East
18077,Hanoi,District #04,East
18081,Hanoi,District #04,East
18084,Ha Long,District #04,East
18087,Hanoi,District #04,East
18092,Ninh Binh,District #04,East
18098,Uong Bi,District #04,East
18099,Son Tay,District #04,East
18103,Ninh Binh,District #04,East
18106,Son Tay,District #04,East
18195,Nam Dinh,District #04,East
18901,Thai Nguyen,District #04,East
18902,Ninh Binh,District #04,East
18910,Nam Dinh,District #04,East
18911,Hanoi,District #04,East
18912,Viet Tri,District #04,East
18913,Ninh Binh,District #04,East
18914,Son Tay,District #04,East
18915,Lao Cai,District #04,East
18916,Hai Phong,District #04,East
18917,Phu Ly,District #04,East
18918,Ninh Binh,District #04,East
18920,Viet Tri,District #04,East
