issued_promo_id,promo_id
PROMO-0027-0145,27
PROMO-0009-0146,9
PROMO-0015-0147,15
PROMO-0015-0148,15
PROMO-0026-0149,26
PROMO-0042-0150,42
PROMO-0013-0151,13
PROMO-0032-0152,32
PROMO-0039-0153,39
PROMO-0049-0154,49
PROMO-0032-0155,32
PROMO-0004-0156,4
PROMO-0030-0157,30
PROMO-0037-0158,37
PROMO-0023-0159,23
PROMO-0039-0160,39
PROMO-0045-0161,45
PROMO-0015-0162,15
PROMO-0043-0163,43
PROMO-0029-0164,29
PROMO-0036-0165,36
PROMO-0013-0166,13
PROMO-0032-0167,32
PROMO-0007-0168,7
PROMO-0022-0169,22
PROMO-0028-0170,28
PROMO-0002-0171,2
PROMO-0042-0172,42
PROMO-0045-0173,45
PROMO-0006-0174,6
PROMO-0028-0175,28
PROMO-0028-0176,28
PROMO-0044-0177,44
PROMO-0044-0178,44
PROMO-0020-0179,20
PROMO-0030-0180,30
PROMO-0011-0181,11
PROMO-0028-0182,28
PROMO-0025-0183,25
PROMO-0039-0184,39
PROMO-0033-0185,33
PROMO-0001-0186,1
PROMO-0027-0187,27
PROMO-0013-0188,13
PROMO-0041-0189,41
PROMO-0003-0190,3
PROMO-0039-0191,39
PROMO-0006-0192,6
PROMO-0008-0193,8
PROMO-0027-0194,27
PROMO-0009-0195,9
PROMO-0037-0196,37
PROMO-0033-0197,33
PROMO-0042-0198,42
PROMO-0044-0199,44
PROMO-0024-0200,24
PROMO-0015-0201,15
PROMO-0032-0202,32
PROMO-0032-0203,32
PROMO-0024-0204,24
PROMO-0041-0205,41
PROMO-0049-0206,49
PROMO-0049-0207,49
PROMO-0012-0208,12
PROMO-0039-0209,39
PROMO-0002-0210,2
PROMO-0003-0211,3
PROMO-0049-0212,49
PROMO-0037-0213,37
PROMO-0049-0214,49
PROMO-0017-0215,17
PROMO-0049-0216,49
PROMO-0002-0217,2
PROMO-0002-0218,2
PROMO-0028-0219,28
PROMO-0023-0220,23
PROMO-0037-0221,37
PROMO-0032-0222,32
PROMO-0033-0223,33
PROMO-0001-0224,1
PROMO-0019-0225,19
PROMO-0002-0226,2
PROMO-0044-0227,44
PROMO-0026-0228,26
PROMO-0032-0229,32
PROMO-0006-0230,6
PROMO-0032-0231,32
PROMO-0004-0232,4
PROMO-0011-0233,11
PROMO-0017-0234,17
PROMO-0038-0235,38
PROMO-0024-0236,24
PROMO-0005-0237,5
PROMO-0034-0238,34
PROMO-0006-0239,6
PROMO-0022-0240,22
PROMO-0011-0241,11
PROMO-0048-0242,48
PROMO-0016-0243,16
PROMO-0033-0244,33
PROMO-0009-0245,9
PROMO-0006-0246,6
PROMO-0016-0247,16
PROMO-0029-0248,29
PROMO-0003-0249,3
PROMO-0020-0250,20
PROMO-0036-0251,36
PROMO-0019-0252,19
PROMO-0026-0253,26
PROMO-0003-0254,3
PROMO-0019-0255,19
PROMO-0020-0256,20
PROMO-0032-0257,32
PROMO-0007-0258,7
PROMO-0041-0259,41
PROMO-0033-0260,33
PROMO-0040-0261,40
PROMO-0039-0262,39
PROMO-0018-0263,18
PROMO-0040-0264,40
PROMO-0001-0265,1
PROMO-0011-0266,11
PROMO-0028-0267,28
PROMO-0025-0268,25
PROMO-0050-0269,50
PROMO-0023-0270,23
PROMO-0031-0271,31
PROMO-0030-0272,30
PROMO-0042-0273,42
PROMO-0035-0274,35
PROMO-0007-0275,7
PROMO-0016-0276,16
PROMO-0026-0277,26
PROMO-0048-0278,48
PROMO-0049-0279,49
PROMO-0002-0280,2
PROMO-0001-0281,1
PROMO-0048-0282,48
PROMO-0012-0283,12
PROMO-0005-0284,5
PROMO-0037-0285,37
PROMO-0032-0286,32
PROMO-0009-0287,9
PROMO-0041-0288,41
PROMO-0035-0289,35
PROMO-0019-0290,19
PROMO-0048-0291,48
PROMO-0016-0292,16
PROMO-0003-0293,3
PROMO-0020-0294,20
PROMO-0024-0295,24
PROMO-0033-0296,33
PROMO-0024-0297,24
PROMO-0011-0298,11
PROMO-0049-0299,49
PROMO-0008-0300,8
PROMO-0036-0301,36
PROMO-0038-0302,38
PROMO-0040-0303,40
PROMO-0020-0304,20
PROMO-0035-0305,35
PROMO-0048-0306,48
PROMO-0025-0307,25
PROMO-0035-0308,35
PROMO-0025-0309,25
PROMO-0029-0310,29
PROMO-0018-0311,18
PROMO-0046-0312,46
PROMO-0018-0313,18
PROMO-0002-0314,2
PROMO-0035-0315,35
PROMO-0016-0316,16
PROMO-0041-0317,41
PROMO-0036-0318,36
PROMO-0033-0319,33
PROMO-0004-0320,4
PROMO-0033-0321,33
PROMO-0014-0322,14
PROMO-0021-0323,21
PROMO-0048-0324,48
PROMO-0020-0325,20
PROMO-0008-0326,8
PROMO-0007-0327,7
PROMO-0003-0328,3
PROMO-0017-0329,17
PROMO-0033-0330,33
PROMO-0048-0331,48
PROMO-0012-0332,12
PROMO-0022-0333,22
PROMO-0022-0334,22
PROMO-0046-0335,46
PROMO-0030-0336,30
PROMO-0038-0337,38
PROMO-0038-0338,38
PROMO-0045-0339,45
PROMO-0008-0340,8
PROMO-0027-0341,27
PROMO-0027-0342,27
PROMO-0034-0343,34
PROMO-0021-0344,21
PROMO-0030-0345,30
PROMO-0033-0346,33
PROMO-0028-0347,28
PROMO-0047-0348,47
PROMO-0033-0349,33
PROMO-0005-0350,5
PROMO-0048-0351,48
PROMO-0019-0352,19
PROMO-0004-0353,4
PROMO-0035-0354,35
PROMO-0049-0355,49
PROMO-0017-0356,17
PROMO-0044-0357,44
PROMO-0028-0358,28
PROMO-0030-0359,30
PROMO-0029-0360,29
PROMO-0046-0361,46
PROMO-0006-0362,6
PROMO-0035-0363,35
PROMO-0041-0364,41
PROMO-0037-0365,37
PROMO-0024-0366,24
PROMO-0029-0367,29
PROMO-0049-0368,49
PROMO-0046-0369,46
PROMO-0031-0370,31
PROMO-0035-0371,35
PROMO-0033-0372,33
PROMO-0021-0373,21
PROMO-0032-0374,32
PROMO-0023-0375,23
PROMO-0033-0376,33
PROMO-0003-0377,3
PROMO-0018-0378,18
PROMO-0025-0379,25
PROMO-0042-0380,42
PROMO-0031-0381,31
PROMO-0003-0382,3
PROMO-0040-0383,40
PROMO-0046-0384,46
PROMO-0024-0385,24
PROMO-0050-0386,50
PROMO-0032-0387,32
PROMO-0047-0388,47
PROMO-0022-0389,22
PROMO-0023-0390,23
PROMO-0002-0391,2
PROMO-0027-0392,27
PROMO-0042-0393,42
PROMO-0002-0394,2
PROMO-0026-0395,26
PROMO-0017-0396,17
PROMO-0040-0397,40
PROMO-0033-0398,33
PROMO-0009-0399,9
PROMO-0043-0400,43
PROMO-0048-0401,48
PROMO-0039-0402,39
PROMO-0029-0403,29
PROMO-0042-0404,42
PROMO-0026-0405,26
PROMO-0035-0406,35
PROMO-0050-0407,50
PROMO-0025-0408,25
PROMO-0024-0409,24
PROMO-0013-0410,13
PROMO-0007-0411,7
PROMO-0036-0412,36
PROMO-0045-0413,45
PROMO-0020-0414,20
PROMO-0001-0415,1
PROMO-0008-0416,8
PROMO-0046-0417,46
PROMO-0016-0418,16
PROMO-0014-0419,14
PROMO-0012-0420,12
PROMO-0023-0421,23
PROMO-0015-0422,15
PROMO-0028-0423,28
PROMO-0034-0424,34
PROMO-0002-0425,2
PROMO-0032-0426,32
PROMO-0023-0427,23
PROMO-0022-0428,22
PROMO-0025-0429,25
PROMO-0022-0430,22
PROMO-0022-0431,22
PROMO-0049-0432,49
PROMO-0042-0433,42
PROMO-0006-0434,6
PROMO-0015-0435,15
PROMO-0043-0436,43
PROMO-0037-0437,37
PROMO-0033-0438,33
PROMO-0008-0439,8
PROMO-0044-0440,44
PROMO-0044-0441,44
PROMO-0005-0442,5
PROMO-0039-0443,39
PROMO-0004-0444,4
PROMO-0006-0445,6
PROMO-0045-0446,45
PROMO-0032-0447,32
PROMO-0030-0448,30
PROMO-0047-0449,47
PROMO-0035-0450,35
PROMO-0040-0451,40
PROMO-0016-0452,16
PROMO-0013-0453,13
PROMO-0050-0454,50
PROMO-0042-0455,42
PROMO-0030-0456,30
PROMO-0019-0457,19
PROMO-0017-0458,17
PROMO-0019-0459,19
PROMO-0028-0460,28
PROMO-0026-0461,26
PROMO-0037-0462,37
PROMO-0026-0463,26
PROMO-0023-0464,23
PROMO-0009-0465,9
PROMO-0012-0466,12
PROMO-0001-0467,1
PROMO-0001-0468,1
PROMO-0047-0469,47
PROMO-0034-0470,34
PROMO-0032-0471,32
PROMO-0048-0472,48
PROMO-0025-0473,25
PROMO-0040-0474,40
PROMO-0045-0475,45
PROMO-0001-0476,1
PROMO-0016-0477,16
PROMO-0039-0478,39
PROMO-0005-0479,5
PROMO-0022-0480,22
PROMO-0029-0481,29
PROMO-0003-0482,3
PROMO-0012-0483,12
PROMO-0026-0484,26
PROMO-0016-0485,16
PROMO-0037-0486,37
PROMO-0022-0487,22
PROMO-0029-0488,29
PROMO-0014-0489,14
PROMO-0028-0490,28
PROMO-0005-0491,5
PROMO-0047-0492,47
PROMO-0049-0493,49
PROMO-0030-0494,30
PROMO-0046-0495,46
PROMO-0005-0496,5
PROMO-0012-0497,12
PROMO-0016-0498,16
PROMO-0026-0499,26
PROMO-0026-0500,26
PROMO-0048-0501,48
PROMO-0021-0502,21
PROMO-0039-0503,39
PROMO-0036-0504,36
PROMO-0033-0505,33
PROMO-0030-0506,30
PROMO-0037-0507,37
PROMO-0023-0508,23
PROMO-0010-0509,10
PROMO-0005-0510,5
PROMO-0036-0511,36
PROMO-0034-0512,34
PROMO-0031-0513,31
PROMO-0010-0514,10
PROMO-0019-0515,19
PROMO-0032-0516,32
PROMO-0001-0517,1
PROMO-0005-0518,5
PROMO-0045-0519,45
PROMO-0004-0520,4
PROMO-0016-0521,16
PROMO-0024-0522,24
PROMO-0016-0523,16
PROMO-0002-0524,2
PROMO-0049-0525,49
PROMO-0028-0526,28
PROMO-0032-0527,32
PROMO-0027-0528,27
PROMO-0020-0529,20
PROMO-0024-0530,24
PROMO-0012-0531,12
PROMO-0050-0532,50
PROMO-0035-0533,35
PROMO-0033-0534,33
PROMO-0033-0535,33
PROMO-0043-0536,43
PROMO-0037-0537,37
PROMO-0012-0538,12
PROMO-0003-0539,3
PROMO-0001-0540,1
PROMO-0033-0541,33
PROMO-0040-0542,40
PROMO-0010-0543,10
PROMO-0043-0544,43
PROMO-0044-0545,44
PROMO-0029-0546,29
PROMO-0013-0547,13
PROMO-0012-0548,12
PROMO-0031-0549,31
PROMO-0046-0550,46
PROMO-0002-0551,2
PROMO-0050-0552,50
PROMO-0035-0553,35
PROMO-0023-0554,23
PROMO-0017-0555,17
PROMO-0026-0556,26
PROMO-0008-0557,8
PROMO-0029-0558,29
PROMO-0026-0559,26
PROMO-0010-0560,10
PROMO-0026-0561,26
PROMO-0034-0562,34
PROMO-0041-0563,41
PROMO-0007-0564,7
PROMO-0004-0565,4
PROMO-0050-0566,50
PROMO-0045-0567,45
PROMO-0011-0568,11
PROMO-0029-0569,29
PROMO-0036-0570,36
PROMO-0025-0571,25
PROMO-0021-0572,21
PROMO-0036-0573,36
PROMO-0010-0574,10
PROMO-0037-0575,37
PROMO-0009-0576,9
PROMO-0024-0577,24
PROMO-0035-0578,35
PROMO-0049-0579,49
PROMO-0035-0580,35
PROMO-0048-0581,48
PROMO-0036-0582,36
PROMO-0018-0583,18
PROMO-0049-0584,49
PROMO-0039-0585,39
PROMO-0032-0586,32
PROMO-0024-0587,24
PROMO-0023-0588,23
PROMO-0032-0589,32
PROMO-0037-0590,37
PROMO-0012-0591,12
PROMO-0049-0592,49
PROMO-0013-0593,13
PROMO-0023-0594,23
PROMO-0025-0595,25
PROMO-0035-0596,35
PROMO-0041-0597,41
PROMO-0030-0598,30
PROMO-0017-0599,17
PROMO-0049-0600,49
PROMO-0020-0601,20
PROMO-0048-0602,48
PROMO-0025-0603,25
PROMO-0022-0604,22
PROMO-0013-0605,13
PROMO-0019-0606,19
PROMO-0049-0607,49
PROMO-0036-0608,36
PROMO-0012-0609,12
PROMO-0041-0610,41
PROMO-0019-0611,19
PROMO-0012-0612,12
PROMO-0009-0613,9
PROMO-0007-0614,7
PROMO-0028-0615,28
PROMO-0014-0616,14
PROMO-0031-0617,31
PROMO-0019-0618,19
PROMO-0047-0619,47
PROMO-0016-0620,16
PROMO-0005-0621,5
PROMO-0035-0622,35
PROMO-0012-0623,12
PROMO-0025-0624,25
PROMO-0021-0625,21
PROMO-0036-0626,36
PROMO-0023-0627,23
PROMO-0016-0628,16
PROMO-0039-0629,39
PROMO-0045-0630,45
PROMO-0042-0631,42
PROMO-0039-0632,39
PROMO-0014-0633,14
PROMO-0031-0634,31
PROMO-0005-0635,5
PROMO-0035-0636,35
PROMO-0023-0637,23
PROMO-0029-0638,29
PROMO-0043-0639,43
PROMO-0011-0640,11
PROMO-0018-0641,18
PROMO-0047-0642,47
PROMO-0012-0643,12
PROMO-0009-0644,9
PROMO-0010-0645,10
PROMO-0044-0646,44
PROMO-0017-0647,17
PROMO-0038-0648,38
PROMO-0007-0649,7
PROMO-0046-0650,46
PROMO-0013-0651,13
PROMO-0040-0652,40
PROMO-0042-0653,42
PROMO-0009-0654,9
PROMO-0050-0655,50
PROMO-0027-0656,27
PROMO-0002-0657,2
PROMO-0005-0658,5
PROMO-0029-0659,29
PROMO-0037-0660,37
PROMO-0038-0661,38
PROMO-0019-0662,19
PROMO-0008-0663,8
PROMO-0048-0664,48
PROMO-0045-0665,45
PROMO-0001-0666,1
PROMO-0022-0667,22
PROMO-0017-0668,17
PROMO-0007-0669,7
PROMO-0025-0670,25
PROMO-0045-0671,45
PROMO-0004-0672,4
PROMO-0036-0673,36
PROMO-0006-0674,6
PROMO-0031-0675,31
PROMO-0019-0676,19
PROMO-0044-0677,44
PROMO-0039-0678,39
PROMO-0027-0679,27
PROMO-0010-0680,10
PROMO-0026-0681,26
PROMO-0019-0682,19
PROMO-0039-0683,39
PROMO-0003-0684,3
PROMO-0045-0685,45
PROMO-0013-0686,13
PROMO-0050-0687,50
PROMO-0028-0688,28
PROMO-0020-0689,20
PROMO-0028-0690,28
PROMO-0008-0691,8
PROMO-0041-0692,41
PROMO-0039-0693,39
PROMO-0001-0694,1
PROMO-0003-0695,3
PROMO-0013-0696,13
PROMO-0028-0697,28
PROMO-0049-0698,49
PROMO-0025-0699,25
PROMO-0033-0700,33
PROMO-0038-0701,38
PROMO-0006-0702,6
PROMO-0044-0703,44
PROMO-0045-0704,45
PROMO-0032-0705,32
PROMO-0045-0706,45
PROMO-0047-0707,47
PROMO-0021-0708,21
PROMO-0016-0709,16
PROMO-0021-0710,21
PROMO-0011-0711,11
   PROMO-0037-0712   ,37
PROMO-0036-0713,36
PROMO-0035-0714,35
PROMO-0019-0715,19
PROMO-0020-0716,20
PROMO-0018-0717,18
PROMO-0047-0718,47
PROMO-0041-0719,41
PROMO-0049-0720,49
PROMO-0014-0721,14
PROMO-0015-0722,15
PROMO-0031-0723,31
PROMO-0001-0724,1
PROMO-0003-0725,3
PROMO-0016-0726,16
PROMO-0023-0727,23
PROMO-0011-0728,11
PROMO-0012-0729,12
PROMO-0010-0730,10
PROMO-0032-0731,32
PROMO-0016-0732,16
PROMO-0008-0733,8
PROMO-0038-0734,38
PROMO-0012-0735,12
PROMO-0024-0736,24
PROMO-0028-0737,28
PROMO-0008-0738,8
PROMO-0028-0739,28
PROMO-0036-0740,36
PROMO-0026-0741,26
PROMO-0008-0742,8
PROMO-0050-0743,50
PROMO-0028-0744,28
PROMO-0028-0745,28
PROMO-0037-0746,37
PROMO-0041-0747,41
PROMO-0036-0748,36
PROMO-0027-0749,27
PROMO-0017-0750,17
PROMO-0009-0751,9
PROMO-0033-0752,33
PROMO-0020-0753,20
PROMO-0013-0754,13
PROMO-0028-0755,28
PROMO-0048-0756,48
PROMO-0029-0757,29
PROMO-0013-0758,13
PROMO-0046-0759,46
PROMO-0035-0760,35
PROMO-0006-0761,6
PROMO-0018-0762,18
PROMO-0005-0763,5
PROMO-0047-0764,47
PROMO-0025-0765,25
PROMO-0002-0766,2
PROMO-0010-0767,10
PROMO-0030-0768,30
PROMO-0050-0769,50
PROMO-0045-0770,45
PROMO-0005-0771,5
PROMO-0033-0772,33
PROMO-0001-0773,1
PROMO-0018-0774,18
PROMO-0032-0775,32
PROMO-0047-0776,47
PROMO-0049-0777,49
PROMO-0011-0778,11
PROMO-0021-0779,21
PROMO-0026-0780,26
PROMO-0025-0781,25
PROMO-0022-0782,22
PROMO-0027-0783,27
PROMO-0049-0784,49
PROMO-0013-0785,13
PROMO-0033-0786,33
PROMO-0034-0787,34
PROMO-0041-0788,41
PROMO-0035-0789,35
PROMO-0001-0790,1
PROMO-0021-0791,21
PROMO-0048-0792,48
PROMO-0006-0793,6
PROMO-0028-0794,28
PROMO-0017-0795,17
PROMO-0005-0796,5
PROMO-0031-0797,31
PROMO-0005-0798,5
PROMO-0038-0799,38
PROMO-0003-0800,3
PROMO-0023-0801,23
PROMO-0037-0802,37
PROMO-0037-0803,37
PROMO-0010-0804,10
PROMO-0010-0805,10
PROMO-0019-0806,19
PROMO-0017-0807,17
PROMO-0021-0808,21
PROMO-0014-0809,14
PROMO-0009-0810,9
PROMO-0046-0811,46
PROMO-0001-0812,1
PROMO-0045-0813,45
PROMO-0013-0814,13
PROMO-0004-0815,4
PROMO-0001-0816,1
PROMO-0049-0817,49
PROMO-0040-0818,40
PROMO-0032-0819,32
PROMO-0034-0820,34
PROMO-0028-0821,28
PROMO-0031-0822,31
PROMO-0008-0823,8
PROMO-0039-0824,39
PROMO-0026-0825,26
PROMO-0034-0826,34
PROMO-0003-0827,3
PROMO-0050-0828,50
PROMO-0012-0829,12
PROMO-0001-0830,1
PROMO-0044-0831,44
PROMO-0005-0832,5
PROMO-0030-0833,30
PROMO-0030-0834,30
PROMO-0017-0835,17
PROMO-0048-0836,48
PROMO-0047-0837,47
PROMO-0023-0838,23
PROMO-0015-0839,15
PROMO-0037-0840,37
PROMO-0021-0841,21
PROMO-0014-0842,14
PROMO-0002-0843,2
PROMO-0011-0844,11
PROMO-0039-0845,39
PROMO-0038-0846,38
PROMO-0034-0847,34
PROMO-0038-0848,38
PROMO-0050-0849,50
PROMO-0034-0850,34
PROMO-0018-0851,18
PROMO-0030-0852,30
PROMO-0015-0853,15
PROMO-0027-0854,27
PROMO-0034-0855,34
PROMO-0038-0856,38
PROMO-0033-0857,33
PROMO-0024-0858,24
PROMO-0015-0859,15
PROMO-0030-0860,30
PROMO-0042-0861,42
PROMO-0017-0862,17
PROMO-0005-0863,5
PROMO-0029-0864,29
PROMO-0004-0865,4
PROMO-0010-0866,10
PROMO-0017-0867,17
PROMO-0010-0868,10
PROMO-0017-0869,17
PROMO-0020-0870,20
PROMO-0024-0871,24
PROMO-0005-0872,5
PROMO-0034-0873,34
PROMO-0006-0874,6
PROMO-0002-0875,2
PROMO-0013-0876,13
PROMO-0043-0877,43
PROMO-0043-0878,43
PROMO-0048-0879,48
PROMO-0011-0880,11
PROMO-0047-0881,47
PROMO-0023-0882,23
PROMO-0016-0883,16
PROMO-0031-0884,31
PROMO-0011-0885,11
PROMO-0016-0886,16
PROMO-0008-0887,8
PROMO-0004-0888,4
PROMO-0040-0889,40
PROMO-0004-0890,4
PROMO-0025-0891,25
PROMO-0003-0892,3
PROMO-0032-0893,32
PROMO-0003-0894,3
PROMO-0027-0895,27
PROMO-0029-0896,29
PROMO-0032-0897,32
PROMO-0050-0898,50
PROMO-0019-0899,19
PROMO-0021-0900,21
PROMO-0005-0901,5
PROMO-0018-0902,18
PROMO-0028-0903,28
PROMO-0042-0904,42
PROMO-0022-0905,22
PROMO-0021-0906,21
PROMO-0006-0907,6
PROMO-0001-0908,1
PROMO-0005-0909,5
PROMO-0041-0910,41
PROMO-0012-0911,12
PROMO-0026-0912,26
PROMO-0046-0913,46
PROMO-0034-0914,34
PROMO-0049-0915,49
PROMO-0014-0916,14
PROMO-0026-0917,26
PROMO-0045-0918,45
PROMO-0027-0919,27
PROMO-0009-0920,9
PROMO-0026-0921,26
PROMO-0047-0922,47
PROMO-0022-0923,22
PROMO-0047-0924,47
PROMO-0030-0925,30
PROMO-0043-0926,43
PROMO-0048-0927,48
PROMO-0017-0928,17
PROMO-0026-0929,26
PROMO-0036-0930,36
PROMO-0001-0931,1
PROMO-0008-0932,8
PROMO-0049-0933,49
PROMO-0035-0934,35
PROMO-0015-0935,15
PROMO-0047-0936,47
PROMO-0022-0937,22
PROMO-0014-0938,14
PROMO-0026-0939,26
PROMO-0028-0940,28
PROMO-0023-0941,23
PROMO-0014-0942,14
PROMO-0024-0943,24
PROMO-0002-0944,2
PROMO-0045-0945,45
PROMO-0026-0946,26
PROMO-0014-0947,14
PROMO-0007-0948,7
PROMO-0003-0949,3
PROMO-0047-0950,47
PROMO-0023-0951,23
PROMO-0046-0952,46
PROMO-0043-0953,43
PROMO-0047-0954,47
PROMO-0045-0955,45
PROMO-0018-0956,18
PROMO-0038-0957,38
PROMO-0035-0958,35
PROMO-0015-0959,15
PROMO-0025-0960,25
PROMO-0037-0961,37
PROMO-0028-0962,28
PROMO-0010-0963,10
PROMO-0039-0964,39
PROMO-0017-0965,17
PROMO-0039-0966,39
PROMO-0022-0967,22
PROMO-0026-0968,26
PROMO-0044-0969,44
PROMO-0025-0970,25
PROMO-0017-0971,17
PROMO-0013-0972,13
PROMO-0020-0973,20
PROMO-0025-0974,25
PROMO-0004-0975,4
PROMO-0010-0976,10
PROMO-0003-0977,3
PROMO-0041-0978,41
PROMO-0045-0979,45
PROMO-0018-0980,18
PROMO-0047-0981,47
PROMO-0036-0982,36
PROMO-0047-0983,47
PROMO-0022-0984,22
PROMO-0034-0985,34
PROMO-0047-0986,47
PROMO-0008-0987,8
PROMO-0040-0988,40
PROMO-0049-0989,49
PROMO-0044-0990,44
PROMO-0019-0991,19
PROMO-0042-0992,42
PROMO-0041-0993,41
PROMO-0037-0994,37
PROMO-0006-0995,6
PROMO-0026-0996,26
PROMO-0034-0997,34
PROMO-0045-0998,45
PROMO-0006-0999,6
PROMO-0037-1000,37
