shipment_id,order_id,shipper_id,delivery_date,ship_date
219,331,,7/8/2012,7/6/2012
220,333,,7/14/2012,7/8/2012
221,335,,7/11/2012,7/9/2012
222,336,,7/10/2012,7/7/2012
223,337,,7/16/2012,7/10/2012
224,338,,7/8/2012,7/5/2012
225,339,,7/10/2012,7/4/2012
226,340,,7/10/2012,7/8/2012
227,341,,7/11/2012,7/9/2012
228,342,,7/15/2012,7/10/2012
229,344,,7/10/2012,7/7/2012
230,346,,7/11/2012,7/8/2012
231,348,,7/11/2012,7/7/2012
232,351,,7/12/2012,7/5/2012
233,357,,7/11/2012,7/6/2012
234,359,,7/11/2012,7/5/2012
235,365,,7/11/2012,7/7/2012
236,366,,7/12/2012,7/9/2012
237,367,,7/12/2012,7/7/2012
238,369,,7/14/2012,7/9/2012
239,370,,7/13/2012,7/10/2012
240,371,,7/8/2012,7/6/2012
241,372,,7/14/2012,7/8/2012
242,373,,7/13/2012,7/7/2012
243,376,,7/13/2012,7/8/2012
244,377,,7/11/2012,7/9/2012
245,378,,7/8/2012,7/4/2012
246,380,,7/10/2012,7/6/2012
247,381,,7/14/2012,7/7/2012
248,383,,7/11/2012,7/5/2012
249,385,,7/9/2012,7/5/2012
250,386,,7/12/2012,7/7/2012
251,391,,7/14/2012,7/7/2012
252,394,,7/11/2012,7/6/2012
253,396,,7/15/2012,7/9/2012
254,397,,7/9/2012,7/5/2012
255,400,,7/14/2012,7/7/2012
256,401,,7/8/2012,7/5/2012
257,402,,7/12/2012,7/6/2012
258,403,,7/11/2012,7/9/2012
259,405,,7/11/2012,7/4/2012
260,406,,7/15/2012,7/10/2012
261,409,,7/12/2012,7/10/2012
262,410,,7/9/2012,7/7/2012
263,411,,7/15/2012,7/11/2012
264,412,,7/16/2012,7/10/2012
265,413,,7/13/2012,7/8/2012
266,414,,7/15/2012,7/10/2012
267,415,,7/9/2012,7/7/2012
268,416,,7/16/2012,7/9/2012
269,417,,7/15/2012,7/11/2012
270,418,,7/9/2012,7/6/2012
271,419,,7/12/2012,7/8/2012
272,420,,7/18/2012,7/11/2012
273,421,,7/12/2012,7/5/2012
274,423,,7/11/2012,7/9/2012
275,425,,7/15/2012,7/8/2012
276,427,,7/10/2012,7/5/2012
277,428,,7/16/2012,7/10/2012
278,429,,7/14/2012,7/7/2012
279,430,,7/9/2012,7/7/2012
280,432,,7/12/2012,7/6/2012
281,433,,7/10/2012,7/8/2012
282,434,,7/10/2012,7/6/2012
283,435,,7/13/2012,7/7/2012
284,436,,7/15/2012,7/8/2012
285,438,,7/11/2012,7/9/2012
286,439,,7/14/2012,7/8/2012
287,440,,7/12/2012,7/8/2012
288,442,,7/16/2012,7/9/2012
289,443,,7/11/2012,7/8/2012
290,444,,7/13/2012,7/6/2012
291,445,,7/10/2012,7/8/2012
292,446,,7/9/2012,7/7/2012
293,448,,7/13/2012,7/10/2012
294,449,,7/15/2012,7/10/2012
295,452,,7/12/2012,7/10/2012
296,453,,7/15/2012,7/9/2012
297,457,,7/15/2012,7/10/2012
298,459,,7/11/2012,7/8/2012
299,461,,7/13/2012,7/10/2012
300,463,,7/15/2012,7/10/2012
301,466,,7/10/2012,7/7/2012
302,469,,7/10/2012,7/6/2012
303,470,,7/16/2012,7/10/2012
304,471,,7/13/2012,7/9/2012
305,472,,7/11/2012,7/6/2012
306,473,,7/12/2012,7/10/2012
307,474,,7/15/2012,7/8/2012
308,475,,7/12/2012,7/10/2012
309,476,,7/10/2012,7/8/2012
310,477,,7/10/2012,7/6/2012
311,478,,7/14/2012,7/8/2012
312,479,,7/13/2012,7/11/2012
313,484,,7/15/2012,7/9/2012
314,485,,7/12/2012,7/8/2012
315,486,,7/9/2012,7/6/2012
316,487,,7/11/2012,7/8/2012
317,490,,7/12/2012,7/10/2012
318,491,,7/9/2012,7/6/2012
319,492,,7/13/2012,7/7/2012
320,495,,7/9/2012,7/6/2012
321,496,,7/9/2012,7/6/2012
322,497,,7/11/2012,7/7/2012
323,499,,7/7/2012,7/5/2012
324,503,,7/13/2012,7/6/2012
325,505,,7/14/2012,7/11/2012
326,508,,7/10/2012,7/6/2012
327,509,,7/10/2012,7/7/2012
328,511,,7/14/2012,7/8/2012
329,513,,7/15/2012,7/11/2012
330,514,,7/11/2012,7/8/2012
331,515,,7/10/2012,7/5/2012
332,516,,7/13/2012,7/11/2012
333,517,,7/7/2012,7/5/2012
334,518,,7/11/2012,7/9/2012
335,520,,7/7/2012,7/5/2012
336,523,,7/10/2012,7/6/2012
337,525,,7/13/2012,7/11/2012
338,527,,7/15/2012,7/9/2012
339,528,,7/12/2012,7/9/2012
340,530,,7/13/2012,7/6/2012
341,531,,7/12/2012,7/9/2012
342,532,,7/11/2012,7/8/2012
343,533,,7/13/2012,7/6/2012
344,534,,7/13/2012,7/9/2012
345,535,,7/14/2012,7/7/2012
346,536,,7/12/2012,7/7/2012
347,539,,7/10/2012,7/6/2012
348,540,,7/14/2012,7/7/2012
349,543,,7/17/2012,7/10/2012
350,544,,7/11/2012,7/8/2012
351,545,,7/11/2012,7/6/2012
352,546,,7/12/2012,7/6/2012
353,547,,7/13/2012,7/10/2012
354,548,,7/12/2012,7/6/2012
355,550,,7/11/2012,7/9/2012
356,551,,7/14/2012,7/11/2012
357,552,,7/8/2012,7/5/2012
358,554,,7/13/2012,7/10/2012
359,556,,7/14/2012,7/7/2012
360,557,,7/11/2012,7/6/2012
361,558,,7/10/2012,7/8/2012
362,559,,7/11/2012,7/7/2012
363,560,,7/14/2012,7/8/2012
364,562,,7/12/2012,7/10/2012
365,563,,7/15/2012,7/10/2012
366,564,,7/14/2012,7/8/2012
367,565,,7/13/2012,7/10/2012
368,566,,7/10/2012,7/8/2012
369,567,,7/15/2012,7/9/2012
370,568,,7/15/2012,7/9/2012
371,569,,7/16/2012,7/9/2012
372,570,,7/15/2012,7/11/2012
373,573,,7/13/2012,7/9/2012
374,574,,7/18/2012,7/12/2012
375,577,,7/13/2012,7/10/2012
376,581,,7/15/2012,7/9/2012
377,582,,7/16/2012,7/9/2012
378,583,,7/13/2012,7/6/2012
379,584,,7/15/2012,7/10/2012
380,586,,7/14/2012,7/10/2012
381,587,,7/13/2012,7/7/2012
382,588,,7/13/2012,7/9/2012
383,589,,7/13/2012,7/10/2012
384,590,,7/14/2012,7/10/2012
385,591,,7/13/2012,7/8/2012
386,592,,7/9/2012,7/7/2012
387,593,,7/12/2012,7/10/2012
388,594,,7/9/2012,7/7/2012
389,596,,7/9/2012,7/7/2012
390,597,,7/14/2012,7/8/2012
391,598,,7/18/2012,7/11/2012
392,599,,7/13/2012,7/9/2012
393,602,,7/12/2012,7/6/2012
394,603,,7/13/2012,7/9/2012
395,605,,7/11/2012,7/7/2012
396,609,,7/15/2012,7/8/2012
397,610,,7/11/2012,7/7/2012
398,612,,7/13/2012,7/10/2012
399,613,,7/14/2012,7/10/2012
400,614,,7/16/2012,7/10/2012
401,615,,7/9/2012,7/7/2012
402,616,,7/16/2012,7/10/2012
403,618,,7/11/2012,7/9/2012
404,619,,7/15/2012,7/13/2012
405,620,,7/13/2012,7/9/2012
406,621,,7/14/2012,7/12/2012
407,624,,7/16/2012,7/9/2012
408,625,,7/10/2012,7/7/2012
409,628,,7/15/2012,7/11/2012
410,631,,7/12/2012,7/10/2012
411,634,,7/13/2012,7/8/2012
412,635,,7/16/2012,7/11/2012
413,636,,7/12/2012,7/7/2012
414,637,,7/11/2012,7/9/2012
415,638,,7/13/2012,7/10/2012
416,639,,7/15/2012,7/8/2012
417,641,,7/15/2012,7/9/2012
418,642,,7/12/2012,7/9/2012
419,643,,7/15/2012,7/13/2012
420,644,,7/15/2012,7/12/2012
421,646,,7/13/2012,7/10/2012
422,649,,7/14/2012,7/9/2012
423,650,,7/17/2012,7/10/2012
424,654,,7/13/2012,7/10/2012
425,656,,7/15/2012,7/12/2012
426,658,,7/12/2012,7/10/2012
427,659,,7/12/2012,7/9/2012
428,662,,7/13/2012,7/7/2012
429,663,,7/13/2012,7/10/2012
430,664,,7/17/2012,7/11/2012
431,665,,7/13/2012,7/11/2012
432,667,,7/20/2012,7/13/2012
433,669,,7/11/2012,7/8/2012
434,670,,7/18/2012,7/11/2012
435,672,,7/15/2012,7/11/2012
436,673,,7/10/2012,7/7/2012
437,674,,7/14/2012,7/10/2012
438,675,,7/15/2012,7/8/2012
439,676,,7/17/2012,7/10/2012
440,678,,7/13/2012,7/9/2012
441,679,,7/14/2012,7/8/2012
442,680,,7/11/2012,7/6/2012
443,681,,7/14/2012,7/8/2012
444,682,,7/13/2012,7/6/2012
445,683,,7/9/2012,7/6/2012
446,684,,7/16/2012,7/11/2012
447,686,,7/11/2012,7/9/2012
448,687,,7/14/2012,7/10/2012
449,688,,7/14/2012,7/11/2012
450,689,,7/13/2012,7/8/2012
451,690,,7/16/2012,7/10/2012
452,692,,7/15/2012,7/11/2012
453,695,,7/11/2012,7/8/2012
454,696,,7/15/2012,7/10/2012
455,697,,7/13/2012,7/10/2012
456,698,,7/12/2012,7/9/2012
457,702,,7/18/2012,7/12/2012
458,703,,7/19/2012,7/12/2012
459,705,,7/15/2012,7/10/2012
460,706,,7/15/2012,7/8/2012
461,707,,7/18/2012,7/11/2012
462,708,,7/19/2012,7/12/2012
463,712,,7/11/2012,7/9/2012
464,713,,7/13/2012,7/11/2012
465,715,,7/13/2012,7/10/2012
466,717,,7/12/2012,7/10/2012
467,718,,7/18/2012,7/11/2012
468,719,,7/18/2012,7/14/2012
469,720,,7/12/2012,7/10/2012
470,724,,7/15/2012,7/11/2012
471,725,,7/14/2012,7/12/2012
472,726,,7/13/2012,7/11/2012
473,728,,7/15/2012,7/8/2012
474,729,,7/18/2012,7/14/2012
475,731,,7/18/2012,7/11/2012
476,732,,7/16/2012,7/11/2012
477,733,,7/15/2012,7/13/2012
478,734,,7/11/2012,7/8/2012
479,738,,7/18/2012,7/11/2012
480,739,,7/15/2012,7/10/2012
481,741,,7/13/2012,7/11/2012
482,743,,7/17/2012,7/13/2012
483,744,,7/17/2012,7/13/2012
484,747,,7/12/2012,7/9/2012
485,748,,7/12/2012,7/8/2012
486,751,,7/15/2012,7/11/2012
487,753,,7/17/2012,7/10/2012
488,756,,7/14/2012,7/8/2012
489,757,,7/14/2012,7/10/2012
490,758,,7/17/2012,7/12/2012
491,759,,7/13/2012,7/10/2012
492,760,,7/15/2012,7/13/2012
493,762,,7/11/2012,7/9/2012
494,763,,7/16/2012,7/14/2012
495,764,,7/18/2012,7/12/2012
496,765,,7/20/2012,7/15/2012
497,766,,7/20/2012,7/15/2012
498,768,,7/20/2012,7/13/2012
499,769,,7/16/2012,7/13/2012
500,770,,7/17/2012,7/10/2012
501,771,,7/15/2012,7/10/2012
502,772,,7/12/2012,7/10/2012
503,773,,7/12/2012,7/9/2012
504,774,,7/15/2012,7/12/2012
505,775,,7/17/2012,7/13/2012
506,779,,7/12/2012,7/9/2012
507,781,,7/20/2012,7/13/2012
508,782,,7/15/2012,7/12/2012
509,783,,7/14/2012,7/9/2012
510,786,,7/18/2012,7/14/2012
511,787,,7/18/2012,7/14/2012
512,789,,7/15/2012,7/10/2012
513,790,,7/15/2012,7/10/2012
514,791,,7/17/2012,7/13/2012
515,792,,7/16/2012,7/13/2012
516,793,,7/19/2012,7/12/2012
517,794,,7/16/2012,7/12/2012
518,795,,7/16/2012,7/13/2012
519,796,,7/17/2012,7/11/2012
520,797,,7/17/2012,7/13/2012
521,802,,7/21/2012,7/15/2012
522,803,,7/18/2012,7/13/2012
523,805,,7/13/2012,7/8/2012
524,806,,7/13/2012,7/11/2012
525,807,,7/15/2012,7/9/2012
526,808,,7/22/2012,7/15/2012
527,810,,7/18/2012,7/11/2012
528,811,,7/13/2012,7/10/2012
529,812,,7/15/2012,7/12/2012
530,813,,7/12/2012,7/10/2012
531,814,,7/15/2012,7/11/2012
532,815,,7/15/2012,7/11/2012
533,816,,7/16/2012,7/9/2012
534,818,,7/13/2012,7/11/2012
535,820,,7/12/2012,7/10/2012
536,823,,7/14/2012,7/12/2012
537,824,,7/18/2012,7/11/2012
538,825,,7/16/2012,7/11/2012
539,826,,7/11/2012,7/8/2012
540,827,,7/11/2012,7/8/2012
541,828,,7/18/2012,7/13/2012
542,829,,7/15/2012,7/13/2012
543,831,,7/16/2012,7/9/2012
544,832,,7/13/2012,7/9/2012
545,833,,7/16/2012,7/12/2012
546,835,,7/16/2012,7/11/2012
547,836,,7/14/2012,7/8/2012
548,838,,7/12/2012,7/9/2012
549,839,,7/15/2012,7/10/2012
550,841,,7/13/2012,7/11/2012
551,842,,7/17/2012,7/11/2012
552,845,,7/18/2012,7/13/2012
553,846,,7/16/2012,7/14/2012
554,848,,7/15/2012,7/13/2012
555,849,,7/16/2012,7/9/2012
556,850,,7/13/2012,7/11/2012
557,851,,7/14/2012,7/10/2012
558,852,,7/14/2012,7/11/2012
559,854,,7/17/2012,7/11/2012
560,859,,7/15/2012,7/8/2012
561,860,,7/13/2012,7/11/2012
562,862,,7/13/2012,7/9/2012
563,863,,7/15/2012,7/10/2012
564,864,,7/15/2012,7/12/2012
565,865,,7/14/2012,7/11/2012
566,866,,7/19/2012,7/13/2012
567,867,,7/17/2012,7/11/2012
568,869,,7/14/2012,7/12/2012
569,870,,7/11/2012,7/9/2012
570,871,,7/13/2012,7/9/2012
571,873,,7/16/2012,7/14/2012
572,874,,7/20/2012,7/14/2012
573,875,,7/18/2012,7/11/2012
574,876,,7/19/2012,7/13/2012
575,877,,7/17/2012,7/13/2012
576,878,,7/14/2012,7/12/2012
577,879,,7/12/2012,7/8/2012
578,880,,7/19/2012,7/14/2012
579,881,,7/14/2012,7/12/2012
580,882,,7/12/2012,7/8/2012
581,883,,7/17/2012,7/12/2012
582,885,,7/20/2012,7/13/2012
583,889,,7/17/2012,7/10/2012
584,890,,7/15/2012,7/11/2012
585,896,,7/14/2012,7/11/2012
586,897,,7/17/2012,7/11/2012
587,898,,7/16/2012,7/13/2012
588,899,,7/20/2012,7/15/2012
589,901,,7/16/2012,7/11/2012
590,902,,7/15/2012,7/13/2012
591,903,,7/12/2012,7/10/2012
592,905,,7/19/2012,7/14/2012
593,907,,7/14/2012,7/10/2012
594,908,,7/14/2012,7/12/2012
595,909,,7/16/2012,7/10/2012
596,910,,7/18/2012,7/15/2012
597,913,,7/18/2012,7/12/2012
598,916,,7/17/2012,7/11/2012
599,917,,7/19/2012,7/12/2012
600,918,,7/19/2012,7/13/2012
601,919,,7/18/2012,7/13/2012
602,920,,7/17/2012,7/12/2012
603,922,,7/14/2012,7/12/2012
604,924,,7/14/2012,7/11/2012
605,926,,7/15/2012,7/13/2012
606,929,,7/15/2012,7/13/2012
607,930,,7/14/2012,7/11/2012
608,931,,7/19/2012,7/12/2012
609,932,,7/16/2012,7/12/2012
610,934,,7/17/2012,7/15/2012
611,935,,7/11/2012,7/9/2012
612,936,,7/16/2012,7/11/2012
613,937,,7/20/2012,7/14/2012
614,938,,7/16/2012,7/10/2012
615,940,,7/16/2012,7/11/2012
616,941,,7/13/2012,7/11/2012
617,942,,7/19/2012,7/13/2012
618,943,,7/15/2012,7/8/2012
619,944,,7/16/2012,7/13/2012
620,945,,7/17/2012,7/13/2012
621,946,,7/20/2012,7/13/2012
622,951,,7/15/2012,7/10/2012
623,952,,7/20/2012,7/13/2012
624,953,,7/16/2012,7/10/2012
625,955,,7/16/2012,7/9/2012
626,956,,7/18/2012,7/14/2012
627,957,,7/17/2012,7/12/2012
628,958,,7/16/2012,7/11/2012
629,962,,7/17/2012,7/14/2012
630,963,,7/15/2012,7/9/2012
631,964,,7/18/2012,7/12/2012
632,965,,7/17/2012,7/14/2012
633,966,,7/17/2012,7/10/2012
634,968,,7/18/2012,7/12/2012
635,969,,7/16/2012,7/12/2012
636,971,,7/13/2012,7/11/2012
637,972,,7/13/2012,7/9/2012
638,973,,7/13/2012,7/8/2012
639,974,,7/11/2012,7/9/2012
640,976,,7/19/2012,7/12/2012
641,977,,7/21/2012,7/15/2012
642,978,,7/15/2012,7/13/2012
643,980,,7/18/2012,7/12/2012
644,981,,7/14/2012,7/9/2012
645,982,,7/15/2012,7/12/2012
646,983,,7/19/2012,7/14/2012
647,984,,7/17/2012,7/12/2012
648,986,,7/12/2012,7/10/2012
649,987,,7/15/2012,7/12/2012
650,988,,7/13/2012,7/11/2012
651,989,,7/19/2012,7/12/2012
652,990,,7/17/2012,7/13/2012
653,991,,7/15/2012,7/11/2012
654,992,,7/15/2012,7/10/2012
655,995,,7/17/2012,7/15/2012
656,997,,7/19/2012,7/14/2012
657,998,,7/18/2012,7/12/2012
658,1001,,7/12/2012,7/10/2012
659,1002,,7/18/2012,7/14/2012
660,1003,,7/16/2012,7/13/2012
661,1004,,7/20/2012,7/15/2012
662,1005,,7/16/2012,7/13/2012
663,1006,,7/15/2012,7/12/2012
664,1010,,7/12/2012,7/9/2012
665,1017,,7/19/2012,7/15/2012
666,1018,,7/15/2012,7/9/2012
667,1019,,7/14/2012,7/11/2012
668,1020,,7/21/2012,7/14/2012
669,1023,,7/15/2012,7/13/2012
670,1025,,7/16/2012,7/13/2012
671,1028,,7/14/2012,7/11/2012
672,1030,,7/15/2012,7/9/2012
673,1031,,7/18/2012,7/12/2012
674,1032,,7/17/2012,7/10/2012
675,1033,,7/14/2012,7/10/2012
676,1034,,7/16/2012,7/10/2012
677,1035,,7/15/2012,7/9/2012
678,1036,,7/13/2012,7/8/2012
679,1037,,7/15/2012,7/12/2012
680,1039,,7/19/2012,7/14/2012
681,1040,,7/15/2012,7/9/2012
682,1041,,7/19/2012,7/15/2012
683,1042,,7/18/2012,7/12/2012
684,1044,,7/20/2012,7/13/2012
685,1046,,7/19/2012,7/12/2012
686,1047,,7/18/2012,7/11/2012
687,1048,,7/18/2012,7/12/2012
688,1049,,7/12/2012,7/9/2012
689,1051,,7/14/2012,7/12/2012
690,1054,,7/22/2012,7/15/2012
691,1055,,7/18/2012,7/13/2012
692,1056,,7/13/2012,7/11/2012
693,1058,,7/19/2012,7/14/2012
694,1060,,7/17/2012,7/11/2012
695,1061,,7/13/2012,7/10/2012
696,1062,,7/17/2012,7/13/2012
697,1063,,7/17/2012,7/12/2012
698,1064,,7/17/2012,7/11/2012
699,1065,,7/16/2012,7/12/2012
700,1067,,7/18/2012,7/12/2012
701,1070,,7/20/2012,7/13/2012
702,1073,,7/22/2012,7/16/2012
703,1074,,7/17/2012,7/12/2012
704,1075,,7/21/2012,7/15/2012
705,1076,,7/17/2012,7/12/2012
706,1077,,7/16/2012,7/11/2012
707,1078,,7/18/2012,7/13/2012
708,1079,,7/18/2012,7/14/2012
709,1081,,7/15/2012,7/13/2012
710,1082,,7/18/2012,7/13/2012
711,1084,,7/17/2012,7/13/2012
712,1085,,7/17/2012,7/13/2012
713,1087,,7/17/2012,7/13/2012
714,1088,,7/17/2012,7/14/2012
715,1091,,7/18/2012,7/15/2012
716,1092,,7/21/2012,7/15/2012
717,1093,,7/14/2012,7/9/2012
718,1094,,7/21/2012,7/15/2012
719,1096,,7/15/2012,7/13/2012
720,1097,,7/16/2012,7/14/2012
721,1098,,7/12/2012,7/10/2012
722,1099,,7/19/2012,7/12/2012
723,1101,,7/19/2012,7/12/2012
724,1104,,7/21/2012,7/15/2012
725,1107,,7/20/2012,7/16/2012
726,1108,,7/15/2012,7/10/2012
727,1110,,7/17/2012,7/11/2012
728,1111,,7/16/2012,7/14/2012
729,1113,,7/16/2012,7/10/2012
730,1115,,7/17/2012,7/10/2012
