snapshot_date,product_id,stock_on_hand,units_received,units_sold,stockout_days,sell_through_rate,fill_rate,days_of_supply
2019-06-30,594,94,12,11,0,0.1048,1.0,256.4
2019-07-31,594,96,15,13,1,0.1193,0.9667,221.5
2019-08-31,594,98,11,9,0,0.0841,1.0,326.7
2019-09-30,594,98,4,4,0,0.0392,1.0,735.0
2019-10-31,594,99,10,9,1,0.0833,0.9667,330.0
2019-11-30,594,99,4,4,1,0.0388,0.9667,742.5
2019-12-31,594,101,13,11,1,0.0982,0.9667,275.5
2020-01-31,594,101,2,2,2,0.0194,0.9333,1515.0
2020-02-29,594,102,9,8,1,0.0727,0.9667,382.5
2020-03-31,594,105,15,12,1,0.1026,0.9667,262.5
2020-04-30,594,108,21,18,1,0.1429,0.9667,180.0
2020-05-31,594,110,13,11,2,0.0909,0.9333,300.0
2020-06-30,594,112,16,14,0,0.1111,1.0,240.0
2020-07-31,594,113,8,7,2,0.0583,0.9333,484.3
2020-08-31,594,114,9,8,2,0.0656,0.9333,427.5
2020-09-30,594,114,6,6,0,0.05,1.0,570.0
2020-10-31,594,114,4,4,1,0.0339,0.9667,855.0
2020-11-30,594,115,6,5,1,0.0417,0.9667,690.0
2020-12-31,594,116,11,10,1,0.0794,0.9667,348.0
2021-01-31,594,117,9,8,0,0.064,1.0,438.8
2021-02-28,594,118,8,7,1,0.056,0.9667,505.7
2021-03-31,594,119,8,7,2,0.0556,0.9333,510.0
2021-04-30,594,121,15,13,2,0.097,0.9333,279.2
2021-05-31,594,124,18,15,2,0.1079,0.9333,248.0
2021-06-30,594,124,9,9,2,0.0677,0.9333,413.3
2021-07-31,594,125,11,10,0,0.0741,1.0,375.0
2021-08-31,594,125,4,4,2,0.031,0.9333,937.5
2021-09-30,594,126,12,11,0,0.0803,1.0,343.6
2021-10-31,594,127,12,11,1,0.0797,0.9667,346.4
2021-11-30,594,129,12,10,0,0.0719,1.0,387.0
2021-12-31,594,130,12,11,2,0.078,0.9333,354.5
2022-01-31,594,131,8,7,1,0.0507,0.9667,561.4
2022-02-28,594,133,11,9,0,0.0634,1.0,443.3
2022-03-31,594,135,14,12,0,0.0816,1.0,337.5
2022-04-30,594,138,17,14,2,0.0921,0.9333,295.7
2022-05-31,594,139,6,5,0,0.0347,1.0,834.0
2022-06-30,594,143,24,20,1,0.1227,0.9667,214.5
2022-07-31,594,144,8,7,1,0.0464,0.9667,617.1
2022-08-31,594,148,18,14,0,0.0864,1.0,317.1
2022-09-30,594,149,10,9,0,0.057,1.0,496.7
2022-10-31,594,150,12,11,0,0.0683,1.0,409.1
2022-11-30,594,151,5,4,1,0.0258,0.9667,1132.5
2022-12-31,594,151,5,5,2,0.0321,0.9333,906.0
2012-07-31,852,22,8,7,2,0.2414,0.9333,94.3
2012-08-31,852,24,17,15,1,0.3846,0.9667,48.0
2012-09-30,852,25,7,6,2,0.1935,0.9333,125.0
2012-10-31,852,26,7,6,1,0.1875,0.9667,130.0
2012-11-30,852,27,7,6,0,0.1818,1.0,135.0
2012-12-31,852,28,5,4,0,0.125,1.0,210.0
2013-01-31,852,30,11,9,1,0.2308,0.9667,100.0
2013-02-28,852,32,14,12,1,0.2727,0.9667,80.0
2013-03-31,852,32,1,1,0,0.0303,1.0,960.0
2013-04-30,852,33,10,9,0,0.2143,1.0,110.0
2013-05-31,852,33,4,4,2,0.1081,0.9333,247.5
2013-06-30,852,34,10,9,1,0.2093,0.9667,113.3
2013-07-31,852,35,11,10,1,0.2222,0.9667,105.0
2013-08-31,852,36,14,13,0,0.2653,1.0,83.1
2013-09-30,852,37,8,7,2,0.1591,0.9333,158.6
2013-10-31,852,38,14,13,0,0.2549,1.0,87.7
2013-11-30,852,38,4,4,2,0.0952,0.9333,285.0
2013-12-31,852,39,8,7,1,0.1522,0.9667,167.1
2014-01-31,852,40,9,8,2,0.1667,0.9333,150.0
2014-02-28,852,40,2,2,2,0.0476,0.9333,600.0
2014-03-31,852,40,3,3,0,0.0698,1.0,400.0
2014-04-30,852,40,3,3,1,0.0698,0.9667,400.0
2014-05-31,852,40,2,2,0,0.0476,1.0,600.0
2014-06-30,852,41,9,8,1,0.1633,0.9667,153.8
2014-07-31,852,42,5,4,2,0.087,0.9333,315.0
2014-08-31,852,43,7,6,2,0.1224,0.9333,215.0
2014-09-30,852,43,3,3,1,0.0652,0.9667,430.0
2014-11-30,852,43,1,1,2,0.0227,0.9333,1290.0
2014-12-31,852,43,1,1,1,0.0227,0.9667,1290.0
2015-03-31,852,43,2,2,2,0.0444,0.9333,645.0
2015-04-30,852,43,3,3,0,0.0652,1.0,430.0
2015-06-30,852,43,2,2,0,0.0444,1.0,645.0
2015-09-30,852,43,2,2,2,0.0444,0.9333,645.0
2015-10-31,852,44,7,6,1,0.12,0.9667,220.0
2015-11-30,852,44,1,1,2,0.0222,0.9333,1320.0
2015-12-31,852,44,1,1,1,0.0222,0.9667,1320.0
2016-02-29,852,44,2,2,1,0.0435,0.9667,660.0
2016-03-31,852,44,1,1,0,0.0222,1.0,1320.0
2016-04-30,852,44,3,3,0,0.0638,1.0,440.0
2016-07-31,852,44,1,1,0,0.0222,1.0,1320.0
2013-02-28,632,3,1,1,1,0.25,0.9667,90.0
2013-03-31,632,3,1,1,2,0.25,0.9333,90.0
2019-02-28,2359,3,1,1,0,0.25,1.0,90.0
2019-03-31,2359,3,3,3,2,0.5,0.9333,30.0
2019-04-30,2359,3,4,4,1,0.5714,0.9667,22.5
2019-05-31,2359,3,3,3,1,0.5,0.9667,30.0
2019-07-31,2359,3,3,3,0,0.5,1.0,30.0
2019-09-30,2359,3,1,1,0,0.25,1.0,90.0
2019-11-30,2359,3,1,1,0,0.25,1.0,90.0
2020-01-31,2359,3,1,1,2,0.25,0.9333,90.0
2020-02-29,2359,3,1,1,1,0.25,0.9667,90.0
2020-03-31,2359,3,2,2,0,0.4,1.0,45.0
2020-04-30,2359,3,3,3,1,0.5,0.9667,30.0
2020-07-31,2359,3,1,1,1,0.25,0.9667,90.0
2020-09-30,2359,3,3,3,2,0.5,0.9333,30.0
2020-10-31,2359,3,1,1,1,0.25,0.9667,90.0
2020-11-30,2359,3,1,1,1,0.25,0.9667,90.0
2021-01-31,2359,3,2,2,0,0.4,1.0,45.0
2021-02-28,2359,3,2,2,0,0.4,1.0,45.0
2021-09-30,2359,3,2,2,2,0.4,0.9333,45.0
2021-10-31,2359,3,1,1,2,0.25,0.9333,90.0
2014-05-31,1665,19,7,6,1,0.24,0.9667,95.0
2014-06-30,1665,19,7,7,1,0.2692,0.9667,81.4
2014-07-31,1665,21,10,8,2,0.2759,0.9333,78.8
2014-08-31,1665,22,7,6,1,0.2143,0.9667,110.0
2014-09-30,1665,22,8,8,2,0.2667,0.9333,82.5
2014-10-31,1665,22,7,7,0,0.2414,1.0,94.3
2014-11-30,1665,23,5,4,0,0.1481,1.0,172.5
2014-12-31,1665,24,7,6,2,0.2,0.9333,120.0
2015-01-31,1665,24,2,2,0,0.0769,1.0,360.0
2015-02-28,1665,24,4,4,1,0.1429,0.9667,180.0
2015-03-31,1665,24,3,3,1,0.1111,0.9667,240.0
2015-04-30,1665,26,11,9,1,0.2571,0.9667,86.7
2015-05-31,1665,28,10,8,2,0.2222,0.9333,105.0
2015-06-30,1665,29,6,5,2,0.1471,0.9333,174.0
2015-07-31,1665,29,2,2,1,0.0645,0.9667,435.0
2015-08-31,1665,29,3,3,1,0.0938,0.9667,290.0
2015-09-30,1665,29,3,3,1,0.0938,0.9667,290.0
2015-10-31,1665,29,1,1,2,0.0333,0.9333,870.0
2015-11-30,1665,30,8,7,1,0.1892,0.9667,128.6
2015-12-31,1665,30,7,7,2,0.1892,0.9333,128.6
2016-01-31,1665,30,3,3,1,0.0909,0.9667,300.0
2016-02-29,1665,30,4,4,0,0.1176,1.0,225.0
2016-03-31,1665,33,19,16,1,0.3265,0.9667,61.9
2016-04-30,1665,40,33,26,0,0.3939,1.0,46.2
2016-05-31,1665,42,16,14,0,0.25,1.0,90.0
2016-06-30,1665,45,22,19,2,0.2969,0.9333,71.1
2016-07-31,1665,47,22,20,2,0.2985,0.9333,70.5
2016-08-31,1665,48,9,8,0,0.1429,1.0,180.0
2016-09-30,1665,49,9,8,0,0.1404,1.0,183.8
2016-10-31,1665,50,9,8,0,0.1379,1.0,187.5
2016-11-30,1665,51,10,9,1,0.15,0.9667,170.0
2016-12-31,1665,52,7,6,2,0.1034,0.9333,260.0
2017-01-31,1665,52,6,6,0,0.1034,1.0,260.0
2017-02-28,1665,52,4,4,1,0.0714,0.9667,390.0
2017-03-31,1665,52,8,8,2,0.1333,0.9333,195.0
2017-04-30,1665,57,26,21,2,0.2692,0.9333,81.4
2017-05-31,1665,63,31,25,2,0.2841,0.9333,75.6
2017-06-30,1665,68,29,24,1,0.2609,0.9667,85.0
2017-07-31,1665,68,3,3,0,0.0423,1.0,680.0
2017-08-31,1665,69,7,6,0,0.08,1.0,345.0
2017-09-30,1665,69,2,2,2,0.0282,0.9333,1035.0
2017-10-31,1665,70,9,8,0,0.1026,1.0,262.5
2017-11-30,1665,70,5,5,0,0.0667,1.0,420.0
2017-12-31,1665,70,5,5,1,0.0667,0.9667,420.0
2018-01-31,1665,70,2,2,0,0.0278,1.0,1050.0
2018-04-30,1665,70,1,1,0,0.0141,1.0,2100.0
2018-05-31,1665,70,1,1,1,0.0141,0.9667,2100.0
2018-07-31,1665,70,1,1,2,0.0141,0.9333,2100.0
2018-08-31,1665,70,7,7,0,0.0909,1.0,300.0
2018-09-30,1665,73,19,16,2,0.1798,0.9333,136.9
2018-10-31,1665,74,11,10,2,0.119,0.9333,222.0
2018-11-30,1665,74,7,7,2,0.0864,0.9333,317.1
2018-12-31,1665,74,5,5,2,0.0633,0.9333,444.0
2019-01-31,1665,74,4,4,0,0.0513,1.0,555.0
2019-02-28,1665,74,4,4,1,0.0513,0.9667,555.0
2019-03-31,1665,75,7,6,2,0.0741,0.9333,375.0
2019-04-30,1665,78,14,11,1,0.1236,0.9667,212.7
2019-05-31,1665,79,11,10,2,0.1124,0.9333,237.0
2019-06-30,1665,80,12,11,0,0.1209,1.0,218.2
2019-07-31,1665,81,10,9,0,0.1,1.0,270.0
2019-08-31,1665,82,6,5,0,0.0575,1.0,492.0
2019-09-30,1665,84,13,11,2,0.1158,0.9333,229.1
2019-10-31,1665,85,9,8,1,0.086,0.9667,318.8
2019-11-30,1665,85,3,3,1,0.0341,0.9667,850.0
2019-12-31,1665,85,1,1,0,0.0116,1.0,2550.0
2020-01-31,1665,85,3,3,2,0.0341,0.9333,850.0
2020-02-29,1665,85,2,2,0,0.023,1.0,1275.0
2020-03-31,1665,85,5,5,2,0.0556,0.9333,510.0
2020-04-30,1665,86,12,11,1,0.1134,0.9667,234.5
2020-05-31,1665,87,13,12,2,0.1212,0.9333,217.5
2020-06-30,1665,88,7,6,1,0.0638,0.9667,440.0
2020-07-31,1665,88,5,5,2,0.0538,0.9333,528.0
2020-08-31,1665,90,10,8,2,0.0816,0.9333,337.5
2020-09-30,1665,90,4,4,1,0.0426,0.9667,675.0
2020-10-31,1665,90,5,5,0,0.0526,1.0,540.0
2020-11-30,1665,90,2,2,0,0.0217,1.0,1350.0
2020-12-31,1665,90,2,2,0,0.0217,1.0,1350.0
2021-01-31,1665,90,3,3,2,0.0323,0.9333,900.0
2021-02-28,1665,91,6,5,0,0.0521,1.0,546.0
2021-03-31,1665,92,6,5,2,0.0515,0.9333,552.0
2021-04-30,1665,93,10,9,0,0.0882,1.0,310.0
2021-05-31,1665,95,9,7,2,0.0686,0.9333,407.1
2021-06-30,1665,95,2,2,0,0.0206,1.0,1425.0
2021-07-31,1665,95,4,4,2,0.0404,0.9333,712.5
2021-08-31,1665,95,8,8,2,0.0777,0.9333,356.2
2021-10-31,1665,95,4,4,2,0.0404,0.9333,712.5
2021-11-30,1665,95,3,3,2,0.0306,0.9333,950.0
2021-12-31,1665,95,3,3,2,0.0306,0.9333,950.0
2022-01-31,1665,95,3,3,0,0.0306,1.0,950.0
2022-02-28,1665,95,4,4,0,0.0404,1.0,712.5
2022-03-31,1665,96,8,7,1,0.068,0.9667,411.4
2022-04-30,1665,98,9,7,1,0.0667,0.9667,420.0
2022-05-31,1665,99,11,10,1,0.0917,0.9667,297.0
2022-06-30,1665,101,12,10,2,0.0901,0.9333,303.0
2022-07-31,1665,101,5,5,0,0.0472,1.0,606.0
2022-08-31,1665,101,5,5,2,0.0472,0.9333,606.0
2022-09-30,1665,101,2,2,1,0.0194,0.9667,1515.0
2022-11-30,1665,101,1,1,2,0.0098,0.9333,3030.0
2022-12-31,1665,101,1,1,2,0.0098,0.9333,3030.0
2018-08-31,1572,19,7,6,1,0.24,0.9667,95.0
2018-09-30,1572,21,21,19,1,0.475,0.9667,33.2
2018-10-31,1572,26,29,24,3,0.48,0.9,32.5
2018-11-30,1572,27,6,5,1,0.1562,0.9667,162.0
2018-12-31,1572,27,6,6,2,0.1818,0.9333,135.0
2019-01-31,1572,29,11,9,0,0.2368,1.0,96.7
2019-02-28,1572,31,10,8,2,0.2051,0.9333,116.2
2019-03-31,1572,32,12,11,1,0.2558,0.9667,87.3
2019-04-30,1572,35,16,13,1,0.2708,0.9667,80.8
2019-05-31,1572,36,13,12,0,0.25,1.0,90.0
2019-06-30,1572,39,16,13,2,0.25,0.9333,90.0
2019-07-31,1572,42,19,16,0,0.2759,1.0,78.8
2019-08-31,1572,43,7,6,0,0.1224,1.0,215.0
2019-09-30,1572,49,28,22,0,0.3099,1.0,66.8
2019-10-31,1572,50,9,8,0,0.1379,1.0,187.5
2019-11-30,1572,51,7,6,2,0.1053,0.9333,255.0
2019-12-31,1572,51,4,4,2,0.0727,0.9333,382.5
2020-01-31,1572,51,2,2,1,0.0377,0.9667,765.0
2020-02-29,1572,51,4,4,0,0.0727,1.0,382.5
2020-03-31,1572,51,3,3,1,0.0556,0.9667,510.0
2020-04-30,1572,53,13,11,0,0.1719,1.0,144.5
2020-05-31,1572,55,15,13,0,0.1912,1.0,126.9
2020-06-30,1572,55,3,3,0,0.0517,1.0,550.0
2020-07-31,1572,56,14,13,1,0.1884,0.9667,129.2
2020-08-31,1572,57,9,8,1,0.1231,0.9667,213.8
2020-09-30,1572,57,6,6,1,0.0952,0.9667,285.0
2020-10-31,1572,58,6,5,0,0.0794,1.0,348.0
2020-11-30,1572,58,6,6,0,0.0938,1.0,290.0
2020-12-31,1572,58,3,3,1,0.0492,0.9667,580.0
2021-01-31,1572,58,6,6,0,0.0938,1.0,290.0
2021-02-28,1572,60,11,9,1,0.1304,0.9667,200.0
2021-03-31,1572,62,13,11,0,0.1507,1.0,169.1
2021-04-30,1572,65,17,14,1,0.1772,0.9667,139.3
2021-05-31,1572,66,13,12,0,0.1538,1.0,165.0
2021-06-30,1572,67,12,11,0,0.141,1.0,182.7
2021-07-31,1572,67,1,1,2,0.0147,0.9333,2010.0
2021-08-31,1572,69,10,8,1,0.1039,0.9667,258.8
2021-09-30,1572,69,3,3,2,0.0417,0.9333,690.0
2021-10-31,1572,69,5,5,0,0.0676,1.0,414.0
2021-11-30,1572,69,4,4,2,0.0548,0.9333,517.5
2021-12-31,1572,69,4,4,2,0.0548,0.9333,517.5
2022-01-31,1572,70,6,5,1,0.0667,0.9667,420.0
2022-02-28,1572,72,9,7,1,0.0886,0.9667,308.6
2022-03-31,1572,73,9,8,0,0.0988,1.0,273.8
2022-04-30,1572,75,13,11,2,0.1279,0.9333,204.5
2022-05-31,1572,76,13,12,0,0.1364,1.0,190.0
2022-06-30,1572,79,17,14,2,0.1505,0.9333,169.3
2022-07-31,1572,79,3,3,2,0.0366,0.9333,790.0
2022-08-31,1572,81,10,8,0,0.0899,1.0,303.8
2022-09-30,1572,82,9,8,0,0.0889,1.0,307.5
2022-10-31,1572,82,4,4,2,0.0465,0.9333,615.0
2022-11-30,1572,82,5,5,0,0.0575,1.0,492.0
2022-12-31,1572,83,7,6,1,0.0674,0.9667,415.0
2012-10-31,1118,3,1,1,0,0.25,1.0,90.0
2013-01-31,1118,3,2,2,0,0.4,1.0,45.0
2013-02-28,1118,4,7,6,3,0.6,0.9,20.0
2013-03-31,1118,4,5,5,1,0.5556,0.9667,24.0
2013-04-30,1118,4,3,3,1,0.4286,0.9667,40.0
2013-05-31,1118,4,2,2,2,0.3333,0.9333,60.0
2013-06-30,1118,4,1,1,2,0.2,0.9333,120.0
2013-10-31,1118,4,1,1,2,0.2,0.9333,120.0
2014-01-31,71,3,1,1,2,0.25,0.9333,90.0
2019-02-28,859,3,1,1,2,0.25,0.9333,90.0
2019-03-31,859,3,2,2,0,0.4,1.0,45.0
2019-04-30,859,3,2,2,0,0.4,1.0,45.0
2019-05-31,859,3,1,1,2,0.25,0.9333,90.0
2019-07-31,859,3,2,2,1,0.4,0.9667,45.0
2019-09-30,859,3,1,1,2,0.25,0.9333,90.0
2019-10-31,859,3,1,1,1,0.25,0.9667,90.0
2019-11-30,859,3,1,1,0,0.25,1.0,90.0
2020-01-31,859,3,1,1,0,0.25,1.0,90.0
2020-12-31,859,3,1,1,1,0.25,0.9667,90.0
2021-02-28,859,3,1,1,2,0.25,0.9333,90.0
2021-04-30,859,3,1,1,2,0.25,0.9333,90.0
2021-05-31,859,3,1,1,2,0.25,0.9333,90.0
2021-06-30,859,3,1,1,1,0.25,0.9667,90.0
2021-08-31,859,3,1,1,2,0.25,0.9333,90.0
2021-09-30,859,3,4,4,1,0.5714,0.9667,22.5
2022-08-31,859,3,1,1,1,0.25,0.9667,90.0
2019-02-28,1793,3,1,1,1,0.25,0.9667,90.0
2019-03-31,1793,3,1,1,2,0.25,0.9333,90.0
2019-04-30,1793,4,7,6,3,0.6,0.9,20.0
2019-05-31,1793,4,3,3,0,0.4286,1.0,40.0
2019-06-30,1793,4,2,2,2,0.3333,0.9333,60.0
2019-07-31,1793,4,2,2,1,0.3333,0.9667,60.0
2019-08-31,1793,4,1,1,2,0.2,0.9333,120.0
2019-10-31,1793,4,2,2,2,0.3333,0.9333,60.0
2019-12-31,1793,4,3,3,2,0.4286,0.9333,40.0
2020-02-29,1793,4,3,3,0,0.4286,1.0,40.0
2020-03-31,1793,4,1,1,0,0.2,1.0,120.0
2020-04-30,1793,4,2,2,2,0.3333,0.9333,60.0
2020-05-31,1793,4,3,3,1,0.4286,0.9667,40.0
2020-06-30,1793,4,3,3,1,0.4286,0.9667,40.0
2020-07-31,1793,4,1,1,1,0.2,0.9667,120.0
2020-08-31,1793,4,1,1,1,0.2,0.9667,120.0
2020-11-30,1793,4,2,2,0,0.3333,1.0,60.0
2020-12-31,1793,4,2,2,1,0.3333,0.9667,60.0
2021-02-28,1793,4,1,1,2,0.2,0.9333,120.0
2021-04-30,1793,4,1,1,1,0.2,0.9667,120.0
2021-05-31,1793,4,2,2,2,0.3333,0.9333,60.0
2021-07-31,1793,4,1,1,0,0.2,1.0,120.0
2021-08-31,1793,4,1,1,2,0.2,0.9333,120.0
2021-09-30,1793,4,1,1,2,0.2,0.9333,120.0
2021-12-31,1793,5,9,8,4,0.6154,0.8667,18.8
2022-03-31,1793,5,3,3,1,0.375,0.9667,50.0
2022-04-30,1793,5,2,2,2,0.2857,0.9333,75.0
2022-08-31,1793,5,1,1,0,0.1667,1.0,150.0
2022-09-30,1793,5,1,1,1,0.1667,0.9667,150.0
2022-10-31,1793,5,1,1,1,0.1667,0.9667,150.0
2022-11-30,1793,5,1,1,1,0.1667,0.9667,150.0
2019-01-31,1145,3,1,1,0,0.25,1.0,90.0
2019-03-31,1145,3,3,3,2,0.5,0.9333,30.0
2019-04-30,1145,3,2,2,0,0.4,1.0,45.0
2019-05-31,1145,3,1,1,0,0.25,1.0,90.0
2019-06-30,1145,3,1,1,2,0.25,0.9333,90.0
2019-07-31,1145,3,2,2,0,0.4,1.0,45.0
2019-08-31,1145,3,2,2,1,0.4,0.9667,45.0
2019-09-30,1145,3,3,3,0,0.5,1.0,30.0
2019-11-30,1145,3,1,1,0,0.25,1.0,90.0
2020-01-31,1145,3,1,1,1,0.25,0.9667,90.0
2020-02-29,1145,3,3,3,1,0.5,0.9667,30.0
2020-03-31,1145,3,1,1,1,0.25,0.9667,90.0
2020-04-30,1145,3,1,1,2,0.25,0.9333,90.0
2020-09-30,1145,3,1,1,1,0.25,0.9667,90.0
2021-04-30,1145,3,1,1,1,0.25,0.9667,90.0
2021-05-31,1145,3,2,2,1,0.4,0.9667,45.0
2021-06-30,1145,3,1,1,0,0.25,1.0,90.0
2021-03-31,1561,3,1,1,2,0.25,0.9333,90.0
2021-05-31,1561,3,1,1,0,0.25,1.0,90.0
2021-06-30,1561,3,4,4,1,0.5714,0.9667,22.5
2021-07-31,1561,4,5,4,1,0.5,0.9667,30.0
2021-08-31,1561,4,4,4,1,0.5,0.9667,30.0
2021-09-30,1561,4,4,4,0,0.5,1.0,30.0
2021-12-31,1561,4,2,2,2,0.3333,0.9333,60.0
2022-02-28,1561,4,1,1,1,0.2,0.9667,120.0
2018-11-30,731,3,1,1,1,0.25,0.9667,90.0
2019-01-31,731,3,1,1,1,0.25,0.9667,90.0
2019-02-28,731,3,1,1,2,0.25,0.9333,90.0
2019-03-31,731,5,10,8,5,0.6154,0.8333,18.8
2019-04-30,731,7,12,10,5,0.5882,0.8333,21.0
2019-05-31,731,8,9,8,1,0.5,0.9667,30.0
2019-06-30,731,8,4,4,2,0.3333,0.9333,60.0
2019-07-31,731,10,10,8,2,0.4444,0.9333,37.5
2019-08-31,731,12,11,9,1,0.4286,0.9667,40.0
2019-10-31,731,12,3,3,1,0.2,0.9667,120.0
2019-11-30,731,12,1,1,2,0.0769,0.9333,360.0
2019-12-31,731,12,1,1,2,0.0769,0.9333,360.0
2020-01-31,731,12,1,1,1,0.0769,0.9667,360.0
2020-02-29,731,13,6,5,1,0.2778,0.9667,78.0
2020-03-31,731,13,2,2,2,0.1333,0.9333,195.0
2020-04-30,731,13,2,2,0,0.1333,1.0,195.0
2020-05-31,731,14,8,7,2,0.3333,0.9333,60.0
2020-06-30,731,14,4,4,1,0.2222,0.9667,105.0
2020-07-31,731,14,4,4,1,0.2222,0.9667,105.0
2020-08-31,731,15,6,5,0,0.25,1.0,90.0
2020-09-30,731,15,1,1,2,0.0625,0.9333,450.0
2020-10-31,731,15,1,1,2,0.0625,0.9333,450.0
2020-11-30,731,15,2,2,1,0.1176,0.9667,225.0
2021-01-31,731,15,2,2,0,0.1176,1.0,225.0
2021-02-28,731,15,4,4,2,0.2105,0.9333,112.5
2021-03-31,731,17,10,8,2,0.32,0.9333,63.8
2021-04-30,731,18,7,6,0,0.25,1.0,90.0
2021-05-31,731,18,5,5,1,0.2174,0.9667,108.0
2021-06-30,731,19,7,6,1,0.24,0.9667,95.0
2021-07-31,731,20,9,8,1,0.2857,0.9667,75.0
2021-08-31,731,20,4,4,0,0.1667,1.0,150.0
2021-09-30,731,20,2,2,1,0.0909,0.9667,300.0
2021-10-31,731,20,1,1,0,0.0476,1.0,600.0
2021-11-30,731,20,3,3,0,0.1304,1.0,200.0
2021-12-31,731,20,2,2,1,0.0909,0.9667,300.0
2022-01-31,731,21,8,7,2,0.25,0.9333,90.0
2022-02-28,731,21,5,5,1,0.1923,0.9667,126.0
2022-03-31,731,21,5,5,0,0.1923,1.0,126.0
2022-04-30,731,22,17,16,0,0.4211,1.0,41.2
2022-05-31,731,24,14,12,0,0.3333,1.0,60.0
2022-06-30,731,25,11,10,1,0.2857,0.9667,75.0
2022-07-31,731,26,6,5,2,0.1613,0.9333,156.0
2022-08-31,731,27,13,12,2,0.3077,0.9333,67.5
2022-09-30,731,28,7,6,1,0.1765,0.9667,140.0
2022-10-31,731,28,3,3,2,0.0968,0.9333,280.0
2022-11-30,731,28,2,2,0,0.0667,1.0,420.0
2022-12-31,731,28,4,4,0,0.125,1.0,210.0
2022-12-31,1860,3,1,1,2,0.25,0.9333,90.0
2022-10-31,1944,9,3,3,0,0.25,1.0,90.0
2022-11-30,1944,9,1,1,2,0.1,0.9333,270.0
2022-12-31,1944,9,3,3,0,0.25,1.0,90.0
2017-05-31,2162,3,1,1,1,0.25,0.9667,90.0
2017-07-31,2162,3,1,1,2,0.25,0.9333,90.0
2017-08-31,2162,3,1,1,0,0.25,1.0,90.0
2018-01-31,2162,3,1,1,2,0.25,0.9333,90.0
2018-09-30,1545,3,1,1,2,0.25,0.9333,90.0
2018-10-31,1545,3,3,3,2,0.5,0.9333,30.0
2018-11-30,1545,3,3,3,0,0.5,1.0,30.0
2018-12-31,1545,3,1,1,2,0.25,0.9333,90.0
2019-01-31,1545,3,2,2,0,0.4,1.0,45.0
2019-02-28,1545,3,1,1,2,0.25,0.9333,90.0
2019-03-31,1545,3,3,3,2,0.5,0.9333,30.0
2019-08-31,1545,3,2,2,2,0.4,0.9333,45.0
2019-09-30,1545,3,1,1,0,0.25,1.0,90.0
2019-10-31,1545,3,1,1,0,0.25,1.0,90.0
2019-11-30,1545,3,1,1,0,0.25,1.0,90.0
2019-12-31,1545,3,2,2,1,0.4,0.9667,45.0
2020-01-31,1545,3,1,1,1,0.25,0.9667,90.0
2020-02-29,1545,3,2,2,0,0.4,1.0,45.0
